TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b000465,22,남,20,0,4,1,1,2,4,6,2,7,10.0,4,2,['제주+구좌읍']
c_c009086,6,남,20,0,2,2,2,5,5,3,2,6,2.0,1,1,['제주+건입동']
d_d004269,3,남,30,0,1,4,1,4,4,7,1,7,7.0,1,3,"['서귀포+상효동', '서귀포+서귀동', '서귀포+법환동', '서귀포+신효동']"
d_d005392,7,남,30,0,2,2,2,6,2,3,3,4,2.0,4,0,['제주+용담2동']
d_d010391,2,여,30,0,4,2,4,1,4,5,2,6,7.0,2,2,['서귀포+남원읍']
d_d002857,9,남,40,0,4,1,1,5,4,5,6,5,8.0,1,2,"['제주+건입동', '제주+삼도이동', '제주+일도일동']"
d_d003379,1,여,30,0,4,1,1,1,4,1,2,7,7.0,1,0,['서귀포+성산읍']
d_d000343,23,여,40,0,3,5,5,1,3,5,3,5,2.0,3,1,"['서귀포+안덕면', '제주+애월읍']"
d_d006734,6,여,20,0,5,2,1,6,7,4,7,6,3.0,3,2,['서귀포+중문동']
d_d007425,28,남,30,0,2,2,4,5,6,1,5,3,6.0,3,1,"['제주+용강동', '서귀포+호근동']"
d_d000537,1,여,20,0,1,1,1,1,5,1,1,5,3.0,3,1,"['서귀포+하효동', '서귀포+성산읍', '제주+일도2동', '제주+일도일동', '서귀포+남원읍', '제주+조천읍']"
d_d002943,23,여,40,0,4,2,2,2,4,2,2,6,1.0,6,3,"['제주+건입동', '제주+일도일동']"
d_d000488,5,여,20,0,2,1,3,7,3,1,7,3,2.0,4,1,['서귀포+성산읍']
c_c005613,22,여,60,0,3,2,3,3,3,3,2,6,4.0,5,0,"['제주+이도일동', '제주+구좌읍', '제주+애월읍']"
d_d000922,1,남,50,0,5,1,1,3,2,3,3,3,1.0,2,4,"['서귀포+하효동', '서귀포+성산읍']"
d_d000744,22,여,20,0,1,1,2,1,4,5,3,6,3.0,1,1,"['제주+애월읍', '제주+한림읍']"
d_d004583,21,여,30,0,4,4,6,2,3,4,4,2,4.0,4,0,"['서귀포+하효동', '서귀포+성산읍', '제주+구좌읍', '서귀포+서귀동']"
