TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
a_a001132,2209030003,2,0,,향수,N,5,
a_a002873,2209280003,4,0,,,,,
a_a004395,2210020002,5,1,,,,,
a_a005221,2210010002,1,1,,복숭아 아이스티,N,2,
a_a000508,2208280001,7,0,,,,,
a_a007374,2210210003,1,1,,비프베이크;탄산음료,N,1,
a_a000477,2208250008,5,3,,,,,
a_a005348,2210010004,1,0,,쭈꾸미삼겹살세트3인분;도토리묵전1,N,1,
a_a009922,2211100006,5,1,,,,,
a_a000507,2208270002,99,0,,,,,
a_a000990,2208290005,7,1,,,,,
a_a013785,2210290003,1,2,,,,4,
a_a000910,2208260003,3,0,,정원 체험,N,1,2
a_a002711,2209290006,6,5,,이벤트 당첨되어서 무료 숙박함.,Y,5,
a_a000376,2208210014,5,1,,,,,
a_a003373,2210010003,4,0,,,,,
a_a008059,2211020004,4,0,,,,,
a_a009427,2210230003,2,0,,킷켓 팝스;포켓몬빵,N,1,
a_a010127,2210250003,1,0,,토스트,N,1,
a_a007264,2210170002,4,0,,,,,
a_a000116,2208080005,4,0,,,,,
a_a009595,2210200006,2,0,,강아지 관련 악세사리;일반 향수;의류,N,5,
a_a004853,2210010005,5,0,,,,,
a_a007091,2210150007,3,0,,루지탑승(카트 비슷한것),Y,5,1
a_a003506,2210080006,1,0,,애플시나몬호떡;맥주데스페라도스,N,1,
a_a002154,2209230005,3,0,,안양예술공원에 설치된 야외 작품들 관람,Y,5,2
a_a012288,2210300001,1,0,,아이스아메리카노;체리에이드;버터빵;소세지빵;홍차빵,N,1,
a_a018056,2211110004,4,0,,,,,
a_a017943,2211120003,1,0,,아이스라떼 109라떼,N,1,
a_a000140,2208150009,4,0,,,,,
a_a000537,2209030004,4,1,,,,,
a_a002315,2209180007,1,4,,편의점 컵라면2개 샌드위치 요거트2개,N,2,
a_a008616,2211050002,1,0,,한정식,Y,1,
b_b005303,2210080003,1,0,,단호박크림파스타;뇨끼;맥주;사이다,N,1,
a_a004670,2210080005,4,1,,,,,
a_a002548,2209250002,1,0,,소곱창,N,1,
a_a008561,2210290008,5,0,,,,,
a_a001226,2209010002,2,1,,아이쇼핑만 펑리수;사탕수수음료,N,5,
a_a009985,2210210002,7,0,,,,,
a_a001323,2208310001,1,0,,얼큰칼국수4인분,N,1,
a_a000990,2208280002,4,0,,,,,
a_a008582,2210290002,1,0,,라끌레트;스테이크;꼬르동블루;무알콜 칵테일,Y,1,
a_a006457,2210120007,1,0,,치킨,N,1,
a_a017601,2211090002,2,1,,식혜;약과,N,1,
