TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
b_b003860,2209300004,3,1,,드론쇼,N,5,2
b_b003842,2209300001,1,0,,대구탙,N,1,
b_b004164,2209290003,7,0,,,,,
b_b007032,2210150002,4,1,,,,,
b_b002299,2208270003,3,0,,애니메이션 역사 관람;성우체험,N,1,1;2
b_b011578,2211050008,1,0,,진주냉면(곱배기);육전,N,1,
b_b008199,2210180006,2,3,,기념품 구입(먹물오징어빵),N,1,
b_b001954,2208190002,5,2,,,,,
b_b007098,2210090006,5,0,,,,,
b_b007686,2210290004,3,0,,고분군 관람 및 창녕박물관 관람,Y,5,2
b_b000622,2208130002,4,2,,,,,
b_b004768,2210010002,1,0,,돼지뽈살순대국밥,Y,1,
b_b009315,2210160004,5,1,,,,,
b_b009651,2210210004,1,0,,커피.쥬스. 빵,N,1,
b_b000997,2210010004,2,1,,한우 채끝 육회 등심 갈비살,N,1,
b_b000115,2208280001,1,0,,조식 뷔페,N,4,
b_b000564,2208050004,5,1,,,,,
b_b001563,2208240007,1,0,,음료 2잔,N,1,
b_b002407,2209030006,4,0,,,,,
b_b005175,2210210007,1,0,,회 매운탕 물회 소주,N,1,
b_b003897,2209300007,6,4,,16:54~17:00 이마트24편의점->리틀쉬림프 도보로 이동;17:00~17:10 리틀쉬림프에서 칠리버터 갈릭쉬림프박스 구매 및 픽업,N,5,
b_b001027,2208220004,3,0,,전시관람,Y,1,2
b_b014359,2210280002,1,0,,소떡소떡,N,1,
b_b002174,2208280003,5,0,,,,,
b_b015767,2211060002,5,1,,,,,
c_c002514,2210080007,5,0,,,,,
b_b002504,2208220002,1,0,,커피,N,1,
b_b005920,2210020003,1,0,,냉소바정싣,N,1,
b_b005419,2209270003,5,0,,,,,
b_b018601,2211100005,1,1,,커피;녹차;조각케이크(투썸 영수증 중복됨),N,4,
b_b001194,2208200003,5,2,,,,,
b_b004550,2209250001,1,0,,돼직국밥;순대,N,1,
b_b005369,2210190011,7,0,,,,,
b_b003942,2210030001,1,0,,한우우거지국밥;한우차돌된장찌개;불고기비빔밥,N,1,
b_b009434,2210300001,1,0,,커피,N,2,
b_b003909,2210020001,5,2,,,,,
b_b011685,2210290002,3,1,,스쿠버다이빙을 하였다,Y,1,1
b_b002013,2208270003,1,0,,음료 마셨습니다.,N,4,
b_b011752,2210260004,1,1,,,,4,
b_b001815,2209040003,5,0,,,,,
b_b003013,2208200001,1,0,,김치순두부찌개,N,1,
b_b018585,2211090003,5,1,,,,,
b_b015712,2210300003,1,0,,핫바 불고기덮밥,Y,1,
b_b005366,2209300005,1,2,,속초중앙시장에서 포장한 음식,Y,4,
b_b000988,2208190007,1,0,,바베큐,Y,1,
b_b004308,2209240002,7,0,,,,,
b_b000597,2208090002,3,0,,관람,N,5,
b_b005086,2210080015,4,0,,,,,
b_b014403,2210290002,5,0,,,,,
b_b014986,2211060004,2,1,,문전성시 닭강정(더덕 닭강정),N,1,
b_b000287,2208130003,1,1,,눈꽃비빔막국수;들기름막국슨,N,1,
b_b004653,2209250004,1,0,,커피,N,1,
b_b000062,2208080002,4,0,,,,,
b_b004957,2210080004,4,0,,,,,
b_b002673,2208220002,1,3,,,,4,
b_b004787,2209250003,1,0,,꽈배기,Y,1,
b_b015991,2211010010,2,0,,밀폐용기;계량컵;흡착행거;실리콘주걱,N,1,
b_b004992,2210010003,1,1,,도토리묵(10000);국수(5000),N,1,
b_b011151,2210280005,3,1,,공연팀;마술팀 공연관람 및 페이스페인팅 구경,N,5,2
b_b000217,2208150003,1,0,,빵,N,1,
b_b004800,2209240003,5,0,,,,,
b_b002168,2208200008,6,0,,오락실 게임,N,1,
b_b009711,2210290003,7,1,,,,,
b_b004541,2209210006,1,0,,블루베리 요거트 스무디;딸기 요거트 스무디,N,1,
b_b011468,2210240007,5,0,,,,,
b_b001643,2208200011,3,0,,분천역산타마을 관광,N,5,
b_b002185,2208210004,4,0,,,,,
b_b007251,2210090003,5,1,,,,,
b_b006574,2210030005,1,0,,물국수. 숯불고기,N,1,
b_b001571,2208220004,1,0,,어달라떼 2잔,Y,1,
b_b016559,2211030010,5,1,,,,,
b_b009946,2210230002,1,0,,고기한상;강황밥,N,4,
b_b004525,2209240008,3,0,,갯배,N,5,1
