TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
c_c006065,2210160003,3,1,,개방 수장고,N,5,2
c_c001891,2208280003,2,0,,커피,N,1,
c_c002506,2209240006,4,0,,,,,
c_c002351,2209260004,5,2,,,,,
c_c003301,2209270004,5,1,,,,,
c_c002533,2210030002,1,0,,콩나물국밥 4그릇,Y,1,
c_c005605,2210310008,4,1,,,,,
c_c003367,2210020001,4,0,,,,,
c_c005754,2210100004,4,0,,,,,
c_c000759,2209040006,5,0,,,,,
c_c005697,2210160010,2,3,,커피 원액,N,5,
c_c000689,2208190002,1,2,,물;음료;주류;부식,N,2,
c_c006402,2210230004,1,0,,한라봉 크림라떼,N,1,
c_c001584,2208290003,1,0,,커피;음료;마들렌,N,1,
c_c000340,2208310006,5,0,,,,,
c_c013794,2211040003,1,1,,저는 불돈덮밥 친구는 강된장덮밥 음식은 깔끔하게 맛있었는데 종업원의 태도가 약간 강압적이고 불친절했습니다.,Y,1,
c_c008808,2210230006,2,0,,튀김 소보로 선물박스,Y,5,
c_c004018,2210160005,1,0,,칼국수;수육;공기밥,N,1,
c_c003541,2210300004,2,0,,삼겹살;라면;순두부;음료;과자;주류,N,1,
c_c011527,2210300002,1,0,,숯불갈비;들깨수제비,N,1,
a_a002569,2209240003,7,0,,,,,
c_c005913,2210290004,7,0,,,,,
c_c006402,2210240007,5,2,,,,,
c_c011225,2210300007,2,0,,슈크림라떼;블루베리요거트스무디,Y,5,
c_c002444,2209230002,4,0,,,,,
c_c007750,2210230002,1,3,,빵,Y,1,
c_c001158,2208200015,4,1,,,,,
c_c014232,2211100008,5,0,,,,,
c_c006698,2210300007,5,0,,,,,
c_c013843,2211030003,7,0,,,,,
c_c008632,2210210006,1,0,,밤파이;밤라떼,N,1,
c_c001024,2208270002,6,7,,학교 견학,N,5,
d_d002373,2211040005,1,0,,게장백반,N,1,
c_c003395,2210290006,5,0,,,,,
c_c000006,2208050006,3,0,,박물관 관람,N,5,
c_c002581,2209180002,1,2,,앙버터 페퍼로니빵,Y,1,
c_c000981,2208270005,5,0,,,,,
c_c007615,2210280006,5,2,,,,,
c_c000728,2209060006,2,2,,커피,N,1,
c_c001557,2209030001,4,0,,,,,
c_c002508,2209170002,1,0,,소고기;삼겹살 바베큐,Y,4,
c_c013211,2211060001,1,0,,아이스미초,Y,1,
c_c007508,2210230004,3,1,,2022 웰니스페스타 순천만국가정원 한방체험센터,N,1,1
c_c000514,2208180005,1,0,,아메리카노;애플파이,Y,1,
c_c000745,2208230005,1,0,,음료와 커피,Y,1,
c_c002127,2209100004,5,1,,,,,
c_c000825,2208210003,3,0,,<미미행성> 전시관람 및 주변 산책;휴식,N,5,
c_c002113,2209170007,2,2,,애플 맥주;자몽 맥주,N,1,
c_c005841,2210160004,1,0,,웨딩부페식사,Y,4,
a_a003143,2210180008,5,0,,,,,
c_c007638,2210300004,7,0,,,,,
c_c002159,2209090006,1,0,,뇨끼;스테이크;샐러드;명란오일포스타,Y,1,
c_c001573,2208270005,4,0,,,,,
c_c003362,2210090003,4,1,,,,,
c_c000489,2209040001,1,0,,돈까스;우동,N,1,
c_c011518,2211050004,1,0,,추어탕,Y,1,
c_c002294,2209130003,1,0,,메밀소바,N,1,
c_c000630,2208310011,4,1,,,,,
c_c001228,2209080005,2,0,,홀스멘토립터스;박카스사워젤리,N,1,
