TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
d_d000253,2208160005,1,2,,편의점 맥주 과자,N,2,
d_d007104,2210220004,4,0,,,,,
d_d005001,2210110001,5,1,,사진,N,5,
d_d002799,2210040004,1,0,,흑돼지;전복내장솥밥;해물탕,N,1,
d_d005620,2210210008,5,1,,,,,
d_d001682,2210020003,5,3,,,,,
a_a000606,2208270004,4,1,,,,,
d_d001849,2210050008,4,1,,,,,
d_d000554,2209090003,6,0,,드라이;커트 등,Y,5,
d_d000747,2209080007,5,0,,,,,
d_d000511,2208290003,1,2,,,,4,
d_d000666,2209050003,6,1,,주차정산,N,1,
d_d001453,2210020007,6,2,,비행기 탑승 대기,Y,5,
d_d000547,2208240006,1,1,,우도땅콩 아이스크림,N,2,
d_d008966,2210290003,1,1,,아메리카노;한라산케이크,N,1,
d_d005563,2210200008,2,0,,딱새우 2팩,N,1,
c_c003081,2209260006,4,0,,,,,
a_a002796,2210020004,1,0,,통큰칼국수랑 막걸리,N,1,
b_b000836,2208190007,2,0,,라면. 물. 바나나. 과자. 술 등,N,1,
c_c003767,2210070005,2,0,,미니백,N,1,
d_d002398,2210190001,1,0,,정식1인 set,N,1,
d_d001362,2209260002,2,1,,물,N,1,
d_d008119,2210290006,2,1,,한라봉;감귤 등 제주 관광소품 구경;동백꽃 손수건 구매,N,1,
d_d012254,2211060003,1,0,,짜장;고기짬뽕;볶음밥,N,1,
d_d000608,2208200010,3,1,,천지연 폭포 입장료,N,1,2
d_d002130,2210090004,6,1,,주유,Y,5,
d_d000326,2208250011,7,2,,,,,
d_d009091,2210300003,4,0,,,,,
d_d004638,2211020002,7,0,,,,,
d_d007600,2210270005,2,0,,닭강정,Y,1,
d_d009319,2211070001,1,0,,아메리카노;디카페인 콜드브루,N,1,
