TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
a_a007376,교통카드충전,0,1,,CU용인마북점,,,,,,3,10000,교통카드충전,4146311300
a_a000122,잡화,4,4,,지악(춘천)방향 휴게소,강원 원주시 신림면 다리실2길 32,강원 원주시 신림면 금창리 500,4457129,4213039022,2022-08-09 12:06:00.000,1,6800,다솜/롤리폴리,
a_a003807,식품,0,3,,이마트 청계천점,,,,,,1,81000,고기;깻잎;떡;양파;감자;라면;사과;과자 등,1114016500
a_a009440,경량패딩,1,1,3588500226,신성통상(주),제주특별자치도 제주시 신광로 29,제주특별자치도 제주시 연동 272-5,3349109,5011013700,2022-10-28 11:27:00.000,1,69800,MSD5JP1502;MSC4TU2001,
a_a017885,테르메덴 풀&스파 이용권,0,2,,테르메덴,,,,,,4,39990,테르메덴 풀&스파 이용권,4150036000
a_a004504,플레이더월드 예약금,0,2,,플레이더월드 강남점,,,,,,5,20000,플레이더월드 예약금,1165010800
b_b001670,식품,1,2,,이마트24,경기 광주시 곤지암읍 광여로 819,경기 광주시 곤지암읍 건업리 328-1,3012083,4161025930,2022-08-20 15:20:00.000,1,23900,커피 과자 샌드위치 등,
a_a002303,취사거리,1,2,,쿠팡,서울 마포구 대흥로6길 14-12,서울 마포구 용강동 494-102,4139058,1144010500,,3,47520,정육;과일;야채,
a_a011495,체험권,1,1,,한성꽃방 비올즈2호,서울 관악구 남부순환로 1870,서울 관악구 봉천동 1664-16,2000003,1162010100,2022-10-29 16:00:00.000,1,15000,랑데부체험 + 아메리카노,
a_a000307,소주,0,5,,GS25 사당점,,,,,,1,12900,소주,1159010700
a_a005125,식품,0,2,,푸드장,,,,,,1,27000,삼겹살;항정살,1156011000
a_a002104,공연티켓,1,2,2208155597,(주)케이지이니시스,서울 중구 통일로 92,서울 중구 순화동 1-170,3000008,1114016800,2022-06-08 06:41:00.000,1,269000,,
a_a018235,군고구마,0,1,,거리음식,,,,,,3,5000,군고구마,4117310300
a_a007307,식품,0,6,,이마트,,,,,,3,50000,간식 초콜릿 스포츠음료 과일,1120010100
a_a008109,티켓,2,2,8248102515,주식회사인터파크,서울 강남구 삼성로 512,서울 강남구 삼성동 157-1,3122005,1168010500,,3,42000,콘서트 티켓,
a_a013696,식품,0,11,,군자플러스,,,,,,1,114000,삼겹살;음료수;술;물 기타등,4139012700
a_a008133,아쿠아플라넷 티켓,0,3,,아쿠아플라넷 일산,,,,,,1,56700,아쿠아플라넷 티켓,4128710400
a_a004976,버스비,1,2,,중앙고속,,,,,2022-09-29 20:36:00.000,1,34400,심야프리미엄 고속버스비,
a_a001060,식품,0,2,,홈마트,경기 부천시 수도로 227-5,,,,,1,36000,삼겹살;햇반;새우,4119012400
a_a004747,스쿨 김영사 체험비,1,1,,이니시스,서울 중구 통일로 92,서울 중구 순화동 1-170,3000008,1114016800,2022-09-29 13:43:00.000,1,38000,,
a_a002912,낚시용품,0,1,,심통낚시 서울점,,,,,,3,30000,낚시용품,1126010500
a_a002759,식사비,1,2,,청송삼계탕&닭칼국수,,,,,2022-10-02 12:22:00.000,1,24800,(얼큰해장) 반마리 얼큰닭칼국수;[고소풍미가득] 참깨계란죽(1그릇);배달팁,
a_a003595,트레비 멤버십 혜택 중 라세느 2인 이용권,0,2,,롯데호텔 서울,,,,,,1,300000,트레비 멤버십 혜택 중 라세느 2인 이용권,1114011100
b_b005996,주유비,1,5,2042383994,풍한주유소,,,,,2022-10-01 15:45:00.000,1,40000,주유비,
a_a010281,어둠속의 대화 티켓 예매,3,2,8248102515,주식회사인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2022-10-20 00:00:00.000,1,60000,[북촌]어둠속의대화(DIALOGUE IN THE DARK),
a_a005151,스타벅스 카드충전,1,1,,(주)에스씨케이컴퍼니,,,,,2022-10-22 11:17:00.000,1,10000,스타벅스 카드충전,
a_a004303,식품,0,4,,이마트 수원점,,,,,,1,15000,생수;아이 음료;간식,4111313700
