TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
b_b004151,음료수,0,3,,이마트 검단점,,,,,,1,5780,음료수,2826011400
b_b016253,식품,1,3,,홈플러스,,,,,2022-11-03 07:50:00.000,1,86760,신선 특란 30개입 외 22건,
b_b007535,식품,2,3,7589901136,경성수산센터,부산 남구 용소로8번길 17,부산 남구 대연동 68-7,4193212,2629010600,2022-10-22 15:17:00.000,1,31000,모듬회,
b_b010037,버스표,1,1,6058121736,부산서부버스터미날주식회사,부산 사상구 광장로21번길 20,부산 사상구 괘법동 532-1,4217042,2653010400,2022-10-30 08:14:00.000,1,12400,버스비,
b_b001032,식품,0,5,,다농엘마트,,,,,,1,176530,소고기 등 여러 취식음식물,4311313500
b_b004811,먹거리,1,10,2108516732,롯데마트 중계점,서울 노원구 노원로 330,,3110002,1135010600,2022-09-30 20:35:00.000,1,114200,음료;주류;과일;잡화;야채;스낵;부식,
b_b010037,버스표,2,1,6128101058,대한여객(자주),,,,,2022-10-30 19:00:00.000,1,12400,버스비,
b_b004750,커피,1,2,1078657147,코레일유통㈜,부산 동구 중앙대로196번길 16-8,부산 동구 초량동 1203-5,4181413,2617010100,2022-09-24 06:30:00.000,1,4200,HOT커피라떼(S),
b_b008090,버스표,0,1,,버스타고,,,,,,1,26000,버스표,2653010400
b_b005253,단산 모노레일 탑승권,1,2,,문경단산관광모노레일,경북 문경시 문경읍 활공장길 556,경북 문경시 문경읍 고요리 산 79-2,4736775,4728025031,2022-10-21 13:57:00.000,3,28000,왕복 성인,
b_b005750,식품,1,4,2505400442,나룻배식당,강원 속초시 아바이마을길 14,강원 속초시 청호동 867,4469151,4221010900,2022-10-20 13:36:00.000,1,30000,젖갈,
b_b007992,식품,1,4,2218207135,홍천몰,강원 원주시 호저로 47,강원 원주시 우산동 405-29,3219060,4213011100,,1,64000,양지말 고추장 양념삼겹살 1KG,
b_b002723,블루라인파크 스카이캡슐,0,2,,블루라인파크,,,,,,1,30000,블루라인파크 스카이캡슐,2635010600
b_b005068,식재료,1,2,,마켓컬리,,,,,,3,14518,친환경샤브샤브용모듬채소;[금미옥]쌀떡볶이;[하남핫푸드]쭈꾸미볶음500G(냉동);[농심]얼큰한너구리5입,
b_b003288,블루원 워터파크 티켓,0,2,,블루원 워터파크,,,,,,1,64800,블루원 워터파크 티켓,4713013500
b_b003955,옷 풍선(소품),1,1,,에이블리,,,,,2022-09-24 18:33:00.000,3,92362,[빅사이즈/남녀공용] 빅오버 프리 루즈핏 브이넥 버튼 니트 가디건 (8COLOR) 외 2건;[빅사이즈26~34]로우핏 플리츠 스커트 외 4건,
b_b001504,식품,0,6,,미식당,,,,,,1,29960,모듬꼬치,1168010100
b_b018532,주유,1,3,5118700063,(주)일광주유소,울산 남구 산업로 93,,3000104,3114011000,2022-11-12 16:30:00.000,1,50000,주유비,
b_b012595,빵,1,1,1102551449,뚜레쥬르,울산 남구 대학로147번길 61,울산 남구 무거동 1536-1,4310114,3114010100,2022-10-26 17:32:00.000,3,9300,크림치즈월넛브레드;카페모카크림빵(소);밤이듬뿍맘모스(대);NEW 어니언소시지포카치아;종이쇼핑백,
b_b005218,바다열차티켓,1,6,,바다열차,강원 강릉시 용지로 176,강원 강릉시 교동 118,3220028,4215011000,2022-09-21 00:00:00.000,1,180000,승차권,
b_b004565,휘발유,1,2,5364600623,장성우리주유소,경북 포항시 북구 삼흥로 157,,3304015,4711312100,2022-10-08 10:33:00.000,1,40000,무연,
b_b000760,버스비,1,2,6048100854,(주)천일고속,,,,,2022-08-05 16:04:00.000,1,79200,버스왕복티켓,
b_b000194,식품,0,4,,롯데슈퍼에서 구입,,,,,,1,25000,과자 커피 음료,3020014100
a_a005489,과일,0,3,,NC신구로,,,,,,3,20000,과일,1153010200
b_b006621,식품,0,1,,식자재마트,,,,,,3,20000,생수;사과;감;고구마.,4729011100
b_b004369,식재료,2,8,5459000353,더덕약초상회,강원 인제군 북면 금강로 14,강원 인제군 북면 원통리 683-9,3000121,4281032021,2022-09-19 13:32:00.000,1,510000,,
b_b004665,고기 등등,1,2,2068650913,(주)이마트,강원 춘천시 경춘로 2353,강원 춘천시 온의동 511,3000120,4211012100,2022-10-01 12:31:00.000,1,106900,부식;정육;음료;야채;잡화;과일;주류,
b_b000076,소설(이북),1,1,2298137000,예스이십사(주),서울 영등포구 은행로 11,서울 영등포구 여의도동 15-15,3118025,1156011000,2022-08-17 00:00:00.000,1,25720,"총, 균, 쇠;이오덕 우리글 바로쓰기1",
b_b009533,아침겸점심샌드위치커피,1,2,3808102029,이마트24,충북 괴산군 괴산읍 문무로 85,충북 괴산군 괴산읍 동부리 5,3246013,4376025021,2022-10-29 08:21:00.000,1,8000,HOT아메리카노(케냐);HOT아메리카노(수프리모);버터갈릭스크램블샌드위치;대정)미르M_무극제의샌드2,
b_b018613,식품,0,2,,홈마트,,,,,,1,3200,간식;물,2729011500
b_b004328,식품,1,9,2521601300,GSTHEFRESH,인천 연수구 랜드마크로 160,인천 연수구 송도동 308-1,3351894,2818510600,2022-09-30 12:35:00.000,1,13090,야채;음료,
b_b011637,김밥/커피,1,3,7233301089,하삼동커피남천점,부산 수영구 황령대로489번길 22,부산 수영구 남천동 556-9,4214386,2650010500,2022-10-27 09:38:00.000,1,3000,아메리카노(HOT);아메리카노(ICE),
b_b002648,수영복,1,1,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-07-23 00:00:00.000,1,38100,[빅사이즈]체크 프릴 모노키니,
b_b011113,주유비,1,2,1798501447,포항나루끝셀프주유소,경북 포항시 북구 새천년대로 877,경북 포항시 북구 우현동 142-20,2303001,4711311800,2022-11-03 10:31:00.000,1,20000,주유비,
c_c002495,식품,0,1,,쿠팡,,,,,,4,12000,숯;양고기 소스,1165010200
b_b003934,칫솔,0,1,2138152063,주식회사 아성다이소,,,,,,3,3000,칫솔,1141011400
b_b009520,김밥,1,2,,,,,,,2022-10-22 14:52:00.000,1,7500,돈까스김밥 1개;통새우김밥 1개,
a_a003339,고기,1,4,6669900084,설화네한우정육,경기 광주시 수하길 7,경기 광주시 송정동 71-8,4433311,4161010300,2022-10-07 13:50:00.000,1,75000,특암돼지생목살;한우꽃등심,
b_b005126,숙소,0,2,,에어비엔비,부산 중구 해관로 34,,,,,1,115530,숙소,2611010500
b_b007501,통행료,1,2,1298197052,부산울산고속도로(주),울산 울주군 온양읍 광청로 796-66,,3173010,3171025628,2022-10-30 11:54:00.000,1,3100,통행료,
b_b015567,식당 바우처,1,2,7358700558,케이케이데이주식회사,서울 서초구 서초대로 398,서울 서초구 서초동 1321-11,2121002,1165010800,2022-11-04 16:25:00.000,3,19500,,
d_d003936,블루라인파크 캡슐열차 이용권,1,2,2598700262,해운대블루라인㈜,부산 해운대구 세실로69번길 15,부산 해운대구 좌동 1463-3,4199085,2635010700,2022-10-19 00:36:00.000,1,30000,스카이캡슐(청사포출발>,
b_b006749,식품,0,5,,롯데마트,,,,,,1,40000,간식,2714011800
b_b007082,통행료,4,2,1298200103,한국도로공사,,,,,2022-10-11 23:23:00.000,1,3200,톨게이트비,
c_c009415,루미나나이트 입장권,1,2,,경주엑스포공원,경북 경주시 경감로 614,,3305005,4713013500,2022-10-25 14:11:00.000,1,16000,"[할로윈]야경명소, 엑스포대공원 루미나 해피할로원",
b_b011029,커피,0,2,,컴포즈커피,,,,,,1,3000,커피,1121510500
b_b002148,식품,0,4,,올스타 마트,,,,,,3,15000,간식;터피,1121510400
b_b003909,식품,1,2,2250313070,하동슈퍼,강원 영월군 산솔면 영월동로 3086,,3227016,4275031221,2022-10-01 16:07:00.000,1,8600,백설대두유50;(주)일화 광;식품,
