TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
c_c005217,토마토,0,1,,아파트단지 장터,,,,,,3,5000,토마토,3017011200
c_c001028,과일,1,3,1078163829,(주)코스트코코리아,경기 의정부시 용민로489번길 9,,4343543,4115010600,2022-08-25 11:30:00.000,1,67640,호두산오렌지;동그랑땡1.5KG;도통동그랄땡IRC;서동원모둠전;델몬트바나나;동불복지란30구,
c_c003013,식료품,0,7,,코스트코;코코마트(동네마트),,,,,,1,2243930,식료품,3014011300
c_c008769,식품,0,5,,성경마트,,,,,,3,48000,과자;음료수;과일,4155012500
c_c008976,마녀김밥,1,3,6031664309,청담동마녀김밥(광주첨단점),광주 북구 첨단연신로107번길 7,광주 북구 신용동 721,4286823,2917013000,2022-10-30 09:52:00.000,1,13500,핫도그포장,
c_c003067,음식,1,2,3018541139,롯데슈퍼,충북 진천군 광혜원면 광혜원산단1길 115-4,충북 진천군 광혜원면 광혜원리 423-2,4535024,4375037027,2022-10-02 17:18:00.000,1,50710,잡화;음료;야채;부식;스낵;주류;해산물,
c_c002884,참나무숯,0,2,,인터넷 구매,,,,,,1,20000,참나무숯,4481025000
c_c004648,식품,0,4,,홈플러스 온라인,,,,,,1,58850,여행 숙소에서 먹을 육류 채소 등,4111710500
c_c006405,음료수,1,1,1078657147,코레일유통㈜,서울 영등포구 여의대방로 300,,3118028,1156013200,2022-10-14 18:03:00.000,1,10500,광동)헛개파워100M,
c_c013096,고프로(액션카메라)대여,1,1,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-10-20 00:00:00.000,1,45300,[액션캠대여] 고프로 10 대여/렌탈/렌트,
c_c009513,패러글라이딩 예약금,0,2,,더쎈패러,,,,,,5,40000,패러글라이딩 예약금,4380032000
c_c005634,여수 예술랜드 미디어아트 입장권,0,2,,여수 예술랜드,,,,,,1,27800,여수 예술랜드 미디어아트 입장권,4613025029
c_c007686,식품;잡화,3,3,2068650913,(주)이마트,전남 순천시 팔마로 191,,3283029,4615011300,2022-10-22 18:36:00.000,1,37340,음료;부식;잡화,
c_c007440,일반인입장권 3장 당근거래;귤,0,3,,중고거래이체;홈마트,,,,,,1,13980,일반인입장권 3장 당근거래;귤,3611010200
c_c002586,식품,2,2,4030993021,파리바게뜨,전북 익산시 고봉로30길 28,전북 익산시 영등동 767-7,4607062,4514012200,2022-09-19 09:02:00.000,1,7500,리)크림치즈베이글;호두크림치즈빵,
c_c002792,보조배터리,1,1,1061079385,119오피스,경기 하남시 미사강변한강로 155,경기 하남시 망월동 834-2,3202055,4145010900,2022-09-22 10:19:00.000,1,19110,미니 보조배터리 무선 아이폰 삼성 소형 도킹 MON-P-MINI5000 C타입 1개+1개,
c_c007615,잡화,4,5,2018638817,주식회사아트쉐어,서울 강남구 테헤란로44길 8,서울 강남구 역삼동 706-19,4166740,1168010100,2022-10-20 23:16:00.000,1,50500,해피캔들 POODLE외 3...,
c_c000104,식료품,1,5,6588602285,주식회사제이디컴퍼니,인천 연수구 해돋이로120번길 16,인천 연수구 송도동 3-10,4256332,2818510600,2022-08-03 16:49:00.000,1,35200,열무1단;얼갈이1단;풀무원)평양물냉면(4인분)1700G;햇무우1개;알배기[쌈배추];풀무원)고소하고 단단한두부500g;순두부 400g,
c_c009648,기차표,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2022-10-28 14:34:00.000,3,13800,기차표,
c_c005405,식품,1,1,1369402169,일번지정육,광주 서구 운천로 54,광주 서구 금호동 742-1,3160035,2914013000,2022-10-15 17:18:00.000,1,3070,고기,
c_c005550,전북투어패스 전주한옥마을권,2,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-28 00:05:00.000,1,4200,전북투어패스 전주한옥마을권 성인,
c_c004552,식품,0,1,,0,,,,,,1,4000,샌드위치,2635010700
c_c012205,식품,0,2,,쿠캣,,,,,,5,39400,쭈꾸미;오뎅전골;막창;새우대패롤;짜파게티,1168010500
c_c002838,멀미약,1,1,,우리약국,,,,,2022-09-30 13:10:00.000,1,3000,,
c_c002459,식품,0,4,,홈플러스동청주점,,,,,,1,17990,과자2봉;마트후라이드치킨1마리;떡2세트,4311410300
c_c003553,낚시채비준비,1,2,4432600037,낚시갤러리,전남 순천시 백강로 57,,3283007,4615011400,2022-10-28 19:26:00.000,1,121000,소품,
c_c007693,코닥 필름카메라,1,1,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-10-16 00:00:00.000,1,27000,코닥일회용카메라펀세이버800-39,
c_c002024,기차표,2,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,2022-08-18 17:01:00.000,1,17600,기차표,
c_c002355,식품,2,3,,엔에이치유통(주)하휴게소지점,,,,,2022-09-07 18:42:00.000,1,4500,,
c_c005418,고기,1,2,,(하나)도드람마을,,,,,2022-10-21 18:36:00.000,1,32900,,
c_c008652,식품,1,2,4198800880,롯데슈퍼한남프레시,서울 용산구 대사관로34길 26,서울 용산구 한남동 631-5,4106031,1117013100,2022-10-23 13:54:00.000,1,60390,풀무원돌얼음3KG;롯데마스터토닉워터400ML;쇼핑봉투(신);풀무원샘물 2L;롯데칠성델몬트망고400ML;일품진로1924(병)375ML;초이스엘에코워터500ML;하켄하이네켄(캔)330ML;미국산냉장우갈비살(특);CJ양념이잘배는찌개두부/380g;청정원순창쌈장200G,
c_c006366,기저귀,1,4,2068650913,(주)이마트,대전 동구 동서대로 1689,,2010003,3011011500,2022-10-16 12:32:00.000,1,18200,,
c_c001816,주유,1,2,3228500630,효창에너지직영5주유소,경기 시흥시 동서로 996,경기 시흥시 조남동 690,3199013,4139012400,2022-09-02 09:50:00.000,1,100000,주유비 고급휘발유,
c_c002586,식품,3,2,2020367796,빽다방,전북 익산시 고봉로30길 4,전북 익산시 영등동 766-2,4607062,4514012200,2022-09-19 08:50:00.000,1,6500,카라멜마끼야또(ICED);빽사이즈 앗메리카노(ICED),
c_c014362,낙곱새밀키트,0,2,,개미집 신림집,,,,,,1,25900,낙곱새밀키트,1162010200
c_c001229,과일,0,4,,고현시장,,,,,,3,10000,과일,4831010900
c_c003031,김밥,1,2,2084606697,김가네봉선점,광주 남구 봉선중앙로 48,광주 남구 봉선동 470,3161010,2915511500,2022-09-23 10:35:00.000,1,9600,,
c_c005248,식품,1,6,,박달재한우,서울 중구 다산로35길 18,서울 중구 무학동 58,4103055,1114016400,2022-10-28 13:10:00.000,3,67000,고기,
c_c004119,전북투어패스,1,4,,티몬,,,,,2022-09-12 00:00:00.000,1,21240,전북투어패스 통합이용권,
c_c005377,고기,1,1,,하이마블,,,,,2022-09-29 00:00:00.000,1,30200,[G002]새벽배송(서울경기/인천일부)공동...;[G001]소스4종세트(허브솔트/시즈닝/버터/올리브유);하이마블 토마호크 스테이크 립아이등심..,
c_c000127,식료품,5,5,4641002176,우리수산,대전 중구 계룡로 769,,3010024,3014011200,2022-08-14 12:50:00.000,1,59800,우리수산,
c_c010944,식품,0,2,,고봉민김밥인 순천오천점,,,,,,3,7000,김밥,4615012600
c_c011332,식품,1,3,5775700580,컴포즈커피광주상무자유점,광주 서구 치평로 30,광주 서구 치평동 1178-1,3160042,2914012000,2022-10-30 10:07:00.000,1,2000,더블초코라떼(I)T/O,
c_c000862,여수루지테마파크 삼삼콤보 2인,2,2,6308101041,주식회사 유심천레저산업,전남 여수시 소라면 안심산길 155,,4646651,4613031022,2022-08-21 14:05:00.000,1,56000,[콤보]삼삼콤보_온라인;[콤보]삼삼콤보_온라인,
c_c003918,시외버스티켓,1,1,,중부고속,,,,,2022-09-27 20:09:00.000,1,21200,시외버스,
c_c013052,커피,0,3,,백억커피,,,,,,1,10200,커피,1162010100
