TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
d_d000373,리모와 캐리어,0,1,,온라인,,,,,,1,1660000,리모와 캐리어,1111010100
d_d003736,신발,1,2,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022-10-11 00:00:00.000,1,321000,나이키에어포스107로우올백블랙흰검올검검흰올흰외1건,
b_b002785,클랑포룸 빈 음악 콘서트,1,2,,클랑포룸 빈,경남 통영시 큰발개1길 38,경남 통영시 도남동 1,4799453,4822011700,2022-08-19 11:45:00.000,1,32000,콘서트 티켓,
a_a004572,렌터카,2,3,3148653943,주식회사피플카,대전 유성구 도안대로 563-1,대전 유성구 봉명동 558-7,2010002,3020011100,2022-09-30 16:24:00.000,1,33820,카세어링 요금결제,
c_c002280,햇반,1,1,2076654442,새마을구판장,서울 광진구 자양로13나길 14,서울 광진구 자양동 622-40,4112417,1121510500,2022-09-15 20:20:00.000,1,4680,CJ 햇반 200G;CJ 햇반 큰공기 300G,
d_d003601,부영농장 팝업가든 예약,0,1,,부영농장,,,,,,1,20000,부영농장 팝업가든 예약,5011025335
d_d003721,식품,3,5,,BBQ신연동점,제주특별자치도 제주시 연화로 25,제주특별자치도 제주시 연동 1399-1,3349141,5011013700,2022-10-21 17:49:00.000,1,25500,자메이카통다리구이1개;배달팁,
d_d004978,교통비,2,1,1048117480,아시아나항공㈜,서울 강서구 오정로 443-83,,3000015,1150011300,2022-10-13 17:10:00.000,1,42700,비행기표,
c_c002185,구워먹는치즈,1,1,2148608930,㈜풀무원푸드앤컬처,전북 임실군 오수면 순천완주고속도로 73,전북 임실군 오수면 오산리 675-18,1000014,4575035529,2022-09-17 13:37:00.000,1,4000,임)구워먹는치즈4000,
a_a008137,식품,1,2,1248567342,롯데쇼핑(주)롯데마트,경기 수원시 권선구 동수원로 232,경기 수원시 권선구 권선동 1296-5,3175016,4111313700,2022-10-29 12:20:00.000,1,85440,생수;주류;잡화;부식,
d_d003297,식품,1,2,2628101886,퍼블릭플레이스주식회사,서울 용산구 새창로 213-12,서울 용산구 한강로2가 2-36,3005018,1117012500,2022-09-29 11:59:00.000,1,41300,3개월미만프렌치랙-어린양 양갈비 SHEEP새끼 프랜치랙 스프링램 캠핑 양고기 쉽 새끼 프렌치렉,
d_d000380,비행기표,1,2,,티웨이항공,,,,,2022-09-06 00:00:00.000,1,284800,항공권,
d_d009153,주유비,1,1,6168130031,(주)토평주유소,제주특별자치도 서귀포시 중산간동로 7801,제주특별자치도 서귀포시 토평동 2272-4,3349238,5013011100,2022-11-04 15:14:00.000,1,40000,주유비,
d_d009581,아침식사용 맥도날드 햄버거,1,2,4298500135,맥도날드제주월드컵DT,제주특별자치도 서귀포시 일주서로 7,,3349236,5013011600,2022-10-30 10:39:00.000,1,13200,상하이버거/런치세트;베이컨토마토/런치세트,
d_d007391,잡화,1,1,2138152063,주식회사 아성다이소,서울 강남구 남부순환로 2748,,2000003,1168011800,2022-10-25 14:57:00.000,1,1000,FOREST 편지세트,
a_a001590,잡화,2,1,2138152063,주식회사 아성다이소,서울 은평구 서오릉로 156,서울 은평구 갈현동 468-2,3000007,1138010400,2022-09-03 12:12:00.000,1,5000,블루투스 셀카봉 겸용 삼각대,
d_d003060,스누피가든관람권,0,2,,스누피가든,,,,,,1,28800,스누피가든관람권,5011025600
d_d010534,제주 투어패스,0,2,,(주)엘에스컴퍼니,,,,,,1,49000,제주 투어패스,5011012900
d_d008039,식품,0,3,,토마토마트,,,,,,1,20000,아기간식,4311112400
c_c005312,음료수,1,4,2488800861,CU,서울 금천구 가산디지털1로 186,서울 금천구 가산동 459-11,3117001,1154510100,2022-10-08 07:07:00.000,1,6600,밀싹보리차P500ML;크래프트블랙P470ML,
d_d006998,식품,0,2,,이마트,,,,,,1,93310,갈비살;숯;새우;굴;가리비;파스타면;순희네빈대떡;맥주;생수;얼음;아이스티,5013010200
