COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,b_b002151,1,1,6,1
5,b_b004786,6,2,4,3
1,b_b002864,1,1,7,1
1,b_b011077,2,2,1,1
3,b_b000838,2,1,1,1
1,b_b007736,2,1,1,1
2,b_b000928,7,1,4,3
2,b_b007982,2,2,3,1
1,b_b004452,7,2,3,3
1,b_b002512,2,1,4,1
1,b_b015905,2,1,1,1
2,b_b008557,2,2,1,1
1,b_b010889,7,2,6,3
2,b_b009950,7,2,4,1
1,b_b006716,8,2,3,1
4,b_b011019,2,2,1,1
2,b_b007300,2,1,1,1
3,b_b004405,2,2,1,1
1,b_b006840,8,1,4,3
1,b_b005060,6,2,3,1
3,b_b015552,5,2,4,1
1,b_b001154,5,2,4,1
1,b_b005049,8,2,4,1
1,b_b003024,8,2,3,1
4,a_a003379,11,2,1,1
3,b_b000409,7,1,3,1
2,b_b005988,2,1,2,1
1,b_b002335,7,2,3,1
1,b_b005886,1,1,6,1
1,b_b009611,8,2,3,1
1,b_b015077,1,1,5,1
2,b_b003048,7,2,3,1
1,b_b015553,1,1,4,1
1,b_b000947,1,1,4,1
3,b_b000709,2,1,2,1
1,b_b007090,7,2,4,1
1,b_b007776,3,1,6,2
4,b_b000927,7,1,5,3
1,b_b004820,8,2,3,1
1,b_b001319,8,2,3,1
2,b_b006521,2,2,1,1
1,b_b002959,7,2,3,1
1,b_b000907,8,1,4,1
1,b_b002329,1,2,4,1
1,b_b005375,8,1,4,1
1,b_b007122,1,1,6,1
2,b_b011743,3,2,7,1
3,b_b009493,11,2,1,1
2,b_b006318,2,1,1,1
1,b_b005111,2,2,1,1
1,b_b002471,8,2,3,1
3,b_b004001,2,2,1,1
4,b_b003098,6,2,1,3
1,b_b013631,3,2,6,1
1,b_b005388,7,2,3,1
1,b_b009506,8,1,4,1
2,b_b000333,2,2,1,1
2,b_b006448,2,2,3,1
3,b_b004775,5,1,3,1
1,b_b007507,8,2,4,1
4,b_b007518,6,1,5,1
3,b_b000213,2,1,4,3
1,b_b006744,8,2,4,1
7,b_b003941,10,2,5,1
1,b_b003296,8,1,3,1
4,b_b000404,1,1,4,3
3,b_b009750,5,2,5,1
1,b_b001559,1,1,7,1
1,b_b004595,3,1,4,1
1,b_b011842,1,2,5,1
2,b_b006349,2,2,2,1
2,b_b002864,2,2,4,1
