COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
10,c_c000341,7,2,4,1
2,c_c000783,2,2,1,1
1,c_c009513,3,2,7,1
3,c_c000285,6,1,4,1
1,c_c003093,2,2,3,1
3,c_c011588,5,2,5,3
1,c_c000623,7,2,4,1
1,c_c014312,7,2,4,2
2,b_b014715,2,2,2,1
2,c_c004305,2,1,2,1
3,c_c000787,6,2,1,1
1,c_c000569,1,1,6,1
3,c_c003811,7,1,3,1
6,c_c001080,6,2,2,1
2,c_c011608,2,1,1,1
2,c_c002496,2,2,1,1
1,c_c006155,2,1,3,1
1,c_c011535,1,1,4,1
1,c_c010961,3,2,6,1
3,c_c001435,2,1,2,1
2,c_c014181,2,1,1,1
2,c_c001903,1,1,8,1
1,c_c006100,1,1,7,1
1,c_c012755,1,1,4,1
1,c_c002283,2,2,3,1
2,c_c002690,6,2,6,1
1,c_c004380,1,2,4,3
2,c_c009226,2,1,3,1
1,c_c000230,7,2,4,1
1,c_c007761,8,2,3,1
2,c_c010875,2,1,1,1
3,c_c011336,3,1,7,1
1,c_c008998,8,2,3,3
4,c_c002659,7,2,3,1
1,c_c001069,7,2,3,1
2,c_c011326,7,1,3,1
2,c_c001804,9,1,6,1
4,c_c000135,6,1,3,1
3,c_c005852,7,2,4,3
1,c_c003334,7,2,3,1
3,c_c000553,7,1,3,1
2,c_c006759,7,2,3,1
1,c_c005657,1,2,4,1
3,c_c000453,9,2,3,3
4,c_c014399,6,2,4,1
1,c_c014292,8,1,4,2
2,c_c009145,2,1,2,1
1,c_c002115,1,2,5,1
1,c_c012246,8,2,3,1
1,c_c002311,1,1,5,1
1,c_c012265,1,1,5,1
1,c_c013333,3,1,7,1
1,c_c002232,5,2,3,1
1,c_c003726,8,2,3,1
1,c_c004393,1,1,4,1
1,c_c002917,2,1,1,1
3,c_c006419,2,2,1,1
1,c_c005547,8,2,3,1
4,c_c005743,10,1,8,1
2,c_c002454,7,2,7,1
1,c_c003433,7,1,4,3
1,c_c003275,7,2,5,2
2,c_c009271,2,1,2,1
1,c_c005070,1,2,4,1
5,c_c002846,7,2,3,1
1,c_c012136,7,1,4,3
1,c_c005072,1,1,4,1
2,c_c002838,2,2,2,1
1,c_c010844,9,1,4,3
2,c_c006000,11,2,3,1
2,c_c003553,7,2,4,1
2,c_c003281,2,1,1,1
1,c_c001810,1,1,5,1
2,c_c008659,2,1,1,1
5,c_c001392,7,1,3,1
3,c_c011567,5,2,4,1
3,c_c002926,7,2,3,1
1,c_c000951,1,2,7,1
1,c_c007413,10,1,3,1
2,c_c000253,7,2,4,1
1,c_c009119,1,1,5,1
1,c_c012916,8,1,3,1
3,c_c000951,6,2,8,1
1,c_c006225,1,1,4,1
6,c_c002734,10,2,1,1
2,c_c000657,2,2,1,1
1,c_c003030,1,2,5,1
10,c_c013918,10,2,2,3
1,c_c011531,1,2,6,1
2,c_c010018,2,1,1,1
3,c_c003941,11,2,5,3
2,c_c002711,2,1,2,1
3,c_c000106,5,1,2,1
1,c_c008685,8,1,3,1
4,c_c001119,7,1,4,3
1,c_c009074,7,1,4,2
1,c_c012763,1,1,4,1
1,c_c004449,1,2,4,1
3,c_c002459,5,1,3,1
3,c_c000957,9,2,4,1
6,c_c000152,11,2,2,1
1,c_c003033,1,1,5,1
4,b_b014399,5,1,3,1
1,c_c001146,8,1,3,1
3,c_c003095,7,2,3,1
2,c_c008655,3,2,8,1
1,c_c009429,8,1,3,1
3,c_c001555,7,1,3,1
2,c_c001325,2,1,1,1
3,c_c014392,3,1,7,1
1,c_c003287,8,2,3,1
1,c_c007640,7,1,3,3
1,c_c011845,3,2,6,1
1,c_c001917,2,2,3,1
1,c_c000275,1,1,6,1
2,c_c001229,5,2,6,1
2,c_c000135,6,1,4,1
1,c_c002063,6,1,4,1
2,c_c009134,2,2,1,1
2,c_c003990,2,2,1,1
1,c_c000883,8,2,4,1
2,c_c002646,2,2,2,2
2,c_c004046,2,1,1,1
1,c_c008284,8,2,4,1
1,c_c011421,7,2,3,1
1,c_c002909,1,1,6,1
2,c_c000787,6,2,1,1
4,c_c001571,7,2,4,1
7,c_c005743,10,2,7,1
1,c_c000672,3,1,5,1
1,c_c006400,1,2,4,1
3,c_c003381,2,2,3,3
1,c_c005496,1,1,4,1
2,c_c013190,2,2,1,1
1,d_d006707,3,2,7,1
2,c_c004363,2,1,2,1
1,c_c009088,3,1,7,1
1,c_c003608,1,2,6,1
1,c_c005073,1,1,5,1
2,c_c000368,2,1,2,1
3,c_c004642,2,2,2,1
2,c_c003109,2,2,1,1
8,c_c012073,6,1,2,1
2,c_c002547,5,2,5,1
2,c_c000218,2,2,3,1
4,c_c012342,2,1,1,1
1,c_c000318,7,2,4,3
1,c_c012122,8,2,3,1
1,c_c010977,1,1,4,1
2,c_c010925,2,2,1,1
1,c_c004941,1,2,6,1
2,c_c002777,10,1,6,1
1,c_c004079,1,2,4,1
1,c_c000255,7,2,3,1
3,c_c006792,9,1,6,1
3,c_c002776,2,2,1,1
6,c_c001327,11,2,1,3
1,c_c005636,3,1,6,1
1,c_c000055,7,2,3,1
1,c_c003315,1,1,5,1
4,c_c004486,5,2,5,1
1,c_c009421,8,1,4,1
1,c_c006741,1,1,6,1
3,c_c001267,2,2,4,1
1,c_c002793,7,1,5,1
1,c_c008764,1,2,4,1
1,c_c003223,7,1,3,2
1,c_c001980,8,1,3,3
3,c_c009067,6,1,2,1
3,c_c012078,9,1,5,1
2,c_c003052,2,2,2,1
1,c_c009626,3,2,7,1
2,c_c012334,2,2,2,1
2,c_c002623,7,2,5,1
3,c_c008816,7,2,5,1
1,c_c002259,1,2,7,1
3,c_c003030,2,2,2,1
1,c_c002619,1,1,4,1
1,c_c001693,7,2,3,1
1,c_c002127,1,1,5,1
1,c_c009377,1,1,5,1
3,c_c009696,5,2,4,1
1,c_c013041,1,1,5,1
1,c_c006924,7,2,3,3
1,c_c001829,1,1,5,1
2,c_c001241,7,1,3,1
3,c_c005248,11,1,5,1
1,c_c000952,8,2,3,1
1,c_c006715,8,1,4,2
1,c_c010884,8,2,4,1
