COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,a_a002792,1,2,4,1
1,d_d007844,7,2,4,1
4,d_d006063,3,2,8,1
1,d_d002910,1,2,5,1
1,d_d001678,2,2,3,3
1,a_a003310,9,2,5,1
1,d_d009242,3,2,6,1
5,d_d002717,2,1,1,1
3,d_d005001,7,1,4,1
1,a_a004216,1,1,7,1
1,d_d001740,1,2,4,1
2,d_d007434,6,1,6,1
3,c_c005196,3,2,6,3
5,c_c004984,6,1,5,1
1,d_d007104,1,1,6,1
3,d_d001560,2,2,3,1
1,d_d000682,1,1,4,1
1,d_d004021,8,2,3,1
2,d_d002744,2,2,4,1
1,a_a014624,3,2,7,1
1,c_c000156,7,2,3,1
1,d_d010069,7,1,3,1
2,d_d001833,2,2,1,1
2,d_d000159,2,1,2,1
1,d_d003199,1,1,4,1
2,d_d005151,1,1,5,1
3,d_d010401,2,2,1,1
6,b_b003032,6,2,2,3
1,d_d000206,7,2,3,1
3,d_d007084,2,2,3,1
1,c_c001346,7,2,5,1
2,d_d003194,1,1,1,1
6,d_d004159,5,2,5,1
1,d_d000488,7,2,3,3
5,d_d004906,7,1,4,3
3,d_d004960,2,2,4,1
3,d_d009396,7,1,4,3
1,d_d000746,7,1,4,1
3,d_d001124,5,2,5,1
2,a_a003724,2,2,1,1
1,d_d002716,1,1,4,1
6,d_d004316,6,2,4,1
5,d_d001240,6,2,1,1
3,d_d010760,10,2,6,1
2,d_d000054,2,1,2,1
4,d_d009683,6,2,6,1
1,d_d006784,1,2,4,1
2,d_d002411,2,2,3,3
2,d_d000112,2,1,4,1
1,d_d006140,1,2,4,1
2,d_d000676,2,2,1,1
7,d_d009805,11,2,1,1
1,d_d010211,7,2,3,1
1,d_d001598,1,1,5,3
1,d_d001289,1,1,5,1
1,b_b004253,8,1,3,1
2,d_d009769,3,2,7,1
1,b_b001661,2,1,4,1
4,d_d005738,2,2,1,1
2,d_d010107,7,1,3,1
1,d_d011654,1,2,3,1
2,d_d002872,2,1,2,1
1,d_d000044,7,2,4,1
3,d_d011291,2,1,1,1
2,b_b005641,2,1,2,1
1,d_d002768,7,2,3,1
2,d_d002969,5,2,4,2
2,d_d001595,9,2,4,1
11,d_d004062,2,1,1,1
1,d_d002333,8,1,3,1
2,d_d004159,6,2,1,1
1,a_a004897,1,1,4,1
1,c_c002576,6,1,5,1
2,c_c002117,2,1,3,1
3,d_d000014,2,1,2,1
1,b_b001806,8,2,4,1
1,a_a006300,8,2,4,1
2,d_d001307,2,2,4,1
5,d_d002802,6,2,4,3
1,a_a001033,1,2,5,1
1,a_a002498,8,1,4,1
