TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b005227,KT경주수련관,0,4,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,4,,,경북 경주시 엑스포로 30,경북 경주시 신평동 150-5,,,,,0,
b_b001205,소노벨비발디파크,1,4,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,10,,SONO HOTELS&RESORT,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2022-08-21 00:00:00.000,1,651000,골드(PET)
b_b004008,세상의모든아침펜션,1,3,Y,2022-09-16 00:00:00.000,2022-09-18 00:00:00.000,2,2118841856,주식회사티몬,서울 구로구 디지털로26길 72,서울 구로구 구로동 222-22,4148327,1153010200,2022-09-14 21:19:00.000,1,241200,
b_b000546,이엘호텔,2,1,Y,2022-08-21 00:00:00.000,2022-08-23 00:00:00.000,2,7428600224,(주)위드이노베이션,,,,,2022-08-22 00:00:00.000,1,148500,[10%할인]이엘호텔(강원호텔/양양/홍천/인제/철원)
b_b009495,에스파스호스텔,1,2,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,1,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-21 00:00:00.000,1,62000,GU-싱글룸
b_b001313,소노문 델피노 East동,1,4,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,4,,,,,,,,1,151766,호텔비 1X소노문 패밀리룸
b_b003816,체스터톤스속초,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,4,1558601981,주식회사야놀자클라우드코리아,,,,,2022-08-27 20:28:00.000,3,244000,체스터톤스 속초[초강력특가]투룸 슈페리어 더블
b_b002674,안동 그랜드호텔,1,1,Y,2022-08-24 00:00:00.000,2022-08-26 00:00:00.000,3,,안동그랜드호텔,경북 안동시 관광단지로 346-84,경북 안동시 성곡동 1569,3307004,4717013000,2022-08-17 13:15:00.000,1,203400,호텔비
b_b000454,마티에오시리아호텔,0,1,Y,2022-08-28 00:00:00.000,2022-08-29 00:00:00.000,3,,,부산 기장군 기장읍 동부산관광7로 17,,,,,1,167000,
b_b004352,더베네치아스위트호텔,1,1,Y,2022-09-21 00:00:00.000,2022-09-23 00:00:00.000,2,2208742885,(주)야놀자,,,,,2022-09-20 00:00:00.000,1,40500,"더베네치아스위트호텔(춘천,강촌)"
b_b000525,한화호텔앤드리조트(주),10,1,,,,2,1018130747,한화호텔앤드리조트(주),부산 해운대구 마린시티3로 52,부산 해운대구 우동 1410-3,3133005,2635010500,2022-08-20 10:43:00.000,1,193000,호텔비
b_b000486,아쿠아베이,0,5,Y,2022-08-17 00:00:00.000,2022-08-18 00:00:00.000,3,,,경북 포항시 남구 운하로 207-21,경북 포항시 남구 송도동 253-5,,,,1,150000,
b_b002263,씨크루즈호텔속초,0,1,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,2,,,강원 속초시 청초호반로 273,강원 속초시 청학동 482-525,,,,1,110000,
b_b010948,호텔보보,1,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,8068700753,호텔여기어때,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-06 00:00:00.000,1,50000,10%카드할인 여행페스타 진주보보
b_b000500,A1모텔,0,2,Y,2022-08-14 00:00:00.000,2022-08-15 00:00:00.000,4,,,경북 포항시 북구 양학천로 199,경북 포항시 북구 죽도동 58-5,,,,1,220000,
b_b001935,아스티호텔 부산,0,1,Y,2022-08-19 00:00:00.000,2022-08-20 00:00:00.000,2,,,부산 동구 중앙대로214번길 7-8,부산 동구 초량동 1201-1,,,,1,76000,
b_b005253,진욱이별장자전거게스트하우스,0,7,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,2,,,경북 문경시 마성면 외어1길 6,경북 문경시 마성면 오천리 824-6,,,,1,50000,
b_b000546,W지우리조트,1,4,Y,2022-08-23 00:00:00.000,2022-08-24 00:00:00.000,2,,W지우리조트,경기 가평군 가평읍 북한강변로 970-9,경기 가평군 가평읍 달전리 159-15,3216019,4182025023,2022-08-15 00:00:00.000,1,139000,[단독특가]슈페리어 더불+2인조식
b_b004598,켄싱턴호텔 설악,0,1,Y,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,2,,,강원 속초시 설악산로 998,강원 속초시 설악동 106-1,,,,4,150000,
b_b000432,몽블랑모텔,0,2,Y,2022-08-28 00:00:00.000,2022-08-29 00:00:00.000,2,,,강원 강릉시 교동광장로100번길 8-5,강원 강릉시 교동 1877-6,,,,4,50000,
b_b011359,가보호텔,1,1,Y,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,,3,45000,
b_b001967,아이파크콘도,0,4,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,5,,,강원 고성군 토성면 고성대로 75-16,강원 고성군 토성면 원암리 362-1,,,,1,95000,
b_b001474,숙소로 휴식을 위해 이동,1,11,Y,2022-08-22 00:00:00.000,2022-08-22 00:00:00.000,2,,트립일레븐,,,,,2022-08-23 00:00:00.000,1,170000,
b_b003924,페블비치,0,2,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,20,,,강원 양양군 강현면 일출로 43-11,강원 양양군 강현면 주청리 2-19,,,,5,600000,
b_b010820,윈호텔,0,1,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,경북 안동시 옥명길 28,경북 안동시 옥동 613-3,,,,1,40000,
b_b004712,풍뎅이스테이,0,7,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,1,,,경북 경주시 불국신택지6길 8,경북 경주시 진현동 580-5,,,,5,140000,
b_b003792,유럽마을펜션,2,3,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,5,,,,,,,,1,440000,
b_b005442,라마다호텔 속초,0,1,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,4,,,강원 속초시 대포항희망길 106,강원 속초시 대포동 939,,,,1,350000,
b_b000125,시그니엘 부산,0,1,Y,2022-08-06 00:00:00.000,2022-08-07 00:00:00.000,2,,,부산 해운대구 달맞이길 30,부산 해운대구 중동 1829,,,,1,718740,
b_b004901,용평리조트 타워콘도,1,4,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,4,2208115770,나이스정보통신㈜,,,,,2022-09-10 00:00:00.000,1,163587,YongPyong Resort
b_b003351,시드니모텔,1,2,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-08-07 15:38:00.000,1,80000,강릉시드니 
b_b006122,수피아라,1,3,Y,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,4,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-22 19:49:00.000,3,265400,PE-A동 102호
