TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c002127,켄싱턴리조트 지리산남원,10,4,,,,2,4078504387,(주)이랜드파크켄싱턴리조트지리산남원,전북 남원시 소리길 66,전북 남원시 어현동 37-122,4613350,4519012200,2022-09-07 17:11:00.000,1,22800,리조트비
c_c001458,탑클라우드호텔 군산점,1,1,Y,2022-09-02 00:00:00.000,2022-09-03 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-09-02 00:00:00.000,3,92000,탑클라우드호텔 군산점
c_c000579,여수베네치아호텔&리조트,1,1,Y,2022-09-06 00:00:00.000,2022-09-08 00:00:00.000,3,2208115770,나이스정보통신㈜,,,,,2022-09-06 00:00:00.000,1,332593,1X디럭스 패밀리 코너룸(트윈베드)
c_c001759,센티마르펜션,0,3,Y,2022-09-01 00:00:00.000,2022-09-02 00:00:00.000,4,,,충남 태안군 원북면 학암포길 47-6,충남 태안군 원북면 방갈리 515-6,,,,1,120000,
c_c005446,y누리봄게스트하우스,0,7,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,,,전북 전주시 완산구 서학로 47-3,전북 전주시 완산구 동서학동 102-1,,,,1,55454,
c_c001141,말리호텔앤리조트,0,1,Y,2022-08-19 00:00:00.000,2022-08-21 00:00:00.000,3,,,충남 태안군 소원면 만리포1길 95,충남 태안군 소원면 의항리 1192,,,,3,400000,
c_c012150,라포레 메종,0,3,Y,2022-11-02 00:00:00.000,2022-11-03 00:00:00.000,2,,,전남 해남군 삼산면 고산로 767-17,전남 해남군 삼산면 구림리 726-8,,,,5,100000,
c_c002637,더휴식소륜 대전지점,1,11,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,2,,에어비앤비,,,,,2022-09-14 05:58:00.000,1,134000,개인실.침대1개.게스트2명
c_c008648,양촌자연휴양림,1,9,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,4,3088300023,백제군사박물관,충남 논산시 양촌면 매죽헌로1723번길 176-23,충남 논산시 양촌면 남산리 산 12-4,4565310,4423039028,2022-10-30 19:09:00.000,1,48000,원앙205호(5인실) 1박
c_c000337,포레스트리솜,0,1,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,5,,,충북 제천시 백운면 금봉로 365,충북 제천시 백운면 평동리 707,,,,,0,
c_c013096,개울민박,0,8,Y,2022-11-06 00:00:00.000,2022-11-06 00:00:00.000,1,,,충북 단양군 영춘면 남천2길 21,충북 단양군 영춘면 남천리 491,,,,5,40000,
b_b003837,꾸례게스트하우스,0,7,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,1,,,전남 구례군 구례읍 서시천로 9,전남 구례군 구례읍 봉동리 179-1,,,,5,20000,
c_c000148,괴산친환경아로니아농원,0,7,Y,2022-08-07 00:00:00.000,2022-08-11 00:00:00.000,4,,,충북 괴산군 문광면 광덕3길 163,충북 괴산군 문광면 광덕리 25,,,,,0,
c_c000743,대천경찰수련원,1,11,Y,2022-08-31 00:00:00.000,2022-09-01 00:00:00.000,2,3138300025,보령경찰서,충남 보령시 대천로 33,충남 보령시 대천동 171,3252008,4418010100,2022-08-31 16:29:00.000,1,10000,
c_c000068,우성아파트,0,10,Y,2022-08-13 00:00:00.000,2022-08-15 00:00:00.000,4,,,전북 전주시 덕진구 태진로 101,전북 전주시 덕진구 진북동 416,,,,3,300000,
c_c008767,바노펜션,1,3,Y,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,2,,바노펜션,충남 태안군 안면읍 해안관광로 373,,3264036,4482525321,2022-10-17 00:00:00.000,1,161500,펜션비
c_c001575,더클래식호텔,1,1,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-08-30 13:59:00.000,1,140000,호텔비
c_c000292,소노문 단양,0,4,Y,2022-08-19 00:00:00.000,2022-08-20 00:00:00.000,4,,,충북 단양군 단양읍 삼봉로 187-17,충북 단양군 단양읍 상진리 4-1,,,,1,158000,
c_c011396,호텔ICC,0,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,,,대전 유성구 엑스포로123번길 55,대전 유성구 도룡동 4-29,,,,1,125000,
c_c000502,화담여관,0,2,N,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,1,,,전북 군산시 평화길 99-3,전북 군산시 죽성동 28,,,,4,30000,
