TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
d_d001688,제주품에독채펜션,1,3,Y,2022-09-25 00:00:00.000,2022-09-27 00:00:00.000,4,,티포트,,,,,2022-09-24 00:00:00.000,1,139000,달(가족형)
d_d005999,노블피아,2,1,Y,2022-10-18 00:00:00.000,2022-10-19 00:00:00.000,4,2208115770,나이스정보통신㈜,,,,,2022-10-10 00:00:00.000,1,62785,NOBLEPIA HOTEL
c_c003813,애견펜션 돌봄,0,3,Y,2022-10-05 00:00:00.000,2022-10-06 00:00:00.000,2,,,충남 태안군 안면읍 통샘길 256-5,,,,,4,160000,
a_a001302,아삭아삭순무민박,1,8,Y,2022-09-02 00:00:00.000,2022-09-04 00:00:00.000,1,,아삭아삭순무민박,인천 강화군 강화읍 강화대로368번길 6,인천 강화군 강화읍 관청리 105-1,4271063,2871025022,2022-09-02 00:00:00.000,1,50000,잠시 섬 2기(여성)
d_d006672,오르비레터,0,3,N,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,4,,,,,,,,,0,
d_d001115,유탑유블레스호텔 제주,0,1,Y,2022-09-08 00:00:00.000,2022-09-09 00:00:00.000,3,,,제주특별자치도 제주시 조천읍 조함해안로 502,제주특별자치도 제주시 조천읍 함덕리 1269-9,,,,1,220000,
d_d006209,봉스테이,0,7,Y,2022-10-14 00:00:00.000,2022-10-15 00:00:00.000,1,,,제주특별자치도 제주시 봉개대동10길 4,제주특별자치도 제주시 봉개동 1314-1,,,,1,20124,
d_d003005,스타즈호텔 제주로베로,0,1,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,,,제주특별자치도 제주시 관덕로 26,제주특별자치도 제주시 삼도이동 57-2,,,,1,40755,
d_d006122,그랜드밀리언스호텔 서귀포,2,1,Y,2022-10-20 00:00:00.000,2022-10-21 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-16 00:00:00.000,3,31050,HONOVIEW 더블
b_b000218,나리펜션,0,3,Y,2022-08-15 00:00:00.000,2022-08-16 00:00:00.000,4,,,경북 울릉군 북면 천부3길 217-37,경북 울릉군 북면 천부리 462-2,,,,1,193452,
a_a003610,파라다이스시티,1,1,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,4,4118601799,토스페이먼츠주식회사,서울 강남구 테헤란로 152,서울 강남구 역삼동 737,3122010,1168010100,2022-10-04 17:03:00.000,1,335300,
a_a009953,글램비글램핑,1,5,Y,2022-10-26 00:00:00.000,2022-10-27 00:00:00.000,2,1438125554,글램비글램핑,경기 화성시 서신면 해안길 64,,4431335,4159035026,2022-10-28 09:40:00.000,3,158000,New 글램핑
d_d000968,그랜드조선 제주,1,1,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,3,5458501722,(주)조선호텔앤리조트그랜드조선제주,제주특별자치도 서귀포시 중문관광로72번길 29-5,제주특별자치도 서귀포시 색달동 2822-40,4850763,5013011900,2022-08-27 15:36:00.000,1,479254,호텔숙박비
d_d001212,아일랜드펜션,0,3,Y,2022-09-07 00:00:00.000,2022-09-10 00:00:00.000,1,,,경남 통영시 욕지면 욕지일주로 819-63,경남 통영시 욕지면 서산리 674-13,,,,3,120000,
d_d002187,타마라 제주,1,1,Y,2022-10-20 00:00:00.000,2022-10-22 00:00:00.000,2,,타마라 호텔 ,제주특별자치도 서귀포시 김정문화로41번길 10-8,제주특별자치도 서귀포시 법환동 745-2,4850055,5013010200,2022-10-08 13:49:00.000,1,66134,
a_a001255,자바카라반,1,5,Y,2022-09-05 00:00:00.000,2022-09-07 00:00:00.000,2,4790201344,자바카라반,인천 옹진군 영흥면 선재로 55,인천 옹진군 영흥면 선재리 148-2,3158017,2872036023,2022-09-07 10:24:00.000,3,320000,카라반
d_d002891,호텔시리우스,0,1,Y,2022-10-04 00:00:00.000,2022-10-05 00:00:00.000,2,,,제주특별자치도 제주시 도령로 133,제주특별자치도 제주시 연동 2334-4,,,,1,87272,
c_c001519,아일랜드 리솜,0,4,Y,2022-09-04 00:00:00.000,2022-09-06 00:00:00.000,4,,,충남 태안군 안면읍 꽃지해안로 204,충남 태안군 안면읍 중장리 765-81,,,,,0,
d_d000402,퍼스트70,0,1,Y,2022-08-22 00:00:00.000,2022-08-23 00:00:00.000,3,,,제주특별자치도 서귀포시 명동로 46,제주특별자치도 서귀포시 서귀동 182,,,,1,80500,
d_d006853,제주시 신성마을길,1,11,Y,2022-10-29 00:00:00.000,2022-10-31 00:00:00.000,2,,에어비앤비,,,,,2022-10-14 22:42:00.000,1,170983,집/아파트 전체.침대1개-게스트2명
d_d002183,일선민박,0,8,Y,2022-10-10 00:00:00.000,2022-10-11 00:00:00.000,2,,,협재4길,,,,,1,79715,
d_d001124,메리어트관 제주신화월드호텔앤리조트,1,1,Y,2022-09-17 00:00:00.000,2022-09-20 00:00:00.000,4,6168609829,람정제주개발 주식회사,제주특별자치도 서귀포시 안덕면 녹차분재로 217,,3349232,5013031027,2022-09-17 18:19:00.000,1,818400,
d_d006281,한동리브로콜리,2,8,Y,2022-10-17 00:00:00.000,2022-10-19 00:00:00.000,6,4327000253,한동리브로콜리식당,제주특별자치도 제주시 구좌읍 한동로 24,제주특별자치도 제주시 구좌읍 한동리 1130-3,3349207,5011025630,2022-10-18 10:16:00.000,1,510000,
d_d004869,리치호텔,0,1,Y,2022-10-09 00:00:00.000,2022-10-10 00:00:00.000,2,,,제주특별자치도 제주시 애월읍 고내로13길 100,제주특별자치도 제주시 애월읍 고내리 332-1,,,,1,92000,
d_d001241,울릉도블루모텔,5,2,Y,2022-09-14 00:00:00.000,2022-09-15 00:00:00.000,2,,위메프,,,,,2022-08-31 00:00:00.000,1,88200,경북E누리 울릉도 블루모텔+케이블카+모노레일+외 5곳
d_d000824,팰리스(에어비엔비 숙소),1,11,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,4,,에어비앤비,,,,,2022-07-29 15:25:00.000,1,196400,"집/아파트전체.침대2개.게스트4명.반려동물 2마리 JOCHON-EUP,CHEJU에서 1박"
