TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
b_b005269,2210290006,,2210290006,,2022-10-29 19:00:00.000,15,
b_b000670,2208220005,,2208220005,,2022-08-22 15:30:00.000,1,
b_b013695,2210290009,,2210290009,,2022-10-29 22:00:00.000,12,5
b_b008133,2210230003,,2210230003,,2022-10-23 12:00:00.000,15,
b_b000558,2208070003,,2208070003,,2022-08-07 15:00:00.000,1,
b_b008335,2210230003,,2210230003,,2022-10-23 00:00:00.000,7,5
b_b002707,2208260001,,2208260001,,2022-08-26 18:30:00.000,1,
b_b003209,2208200006,,2208200006,,2022-08-20 02:30:00.000,1,
b_b003650,2208280003,,2208280003,,2022-08-28 13:00:00.000,1,
b_b004635,2210010004,,2210010004,,2022-10-01 10:00:00.000,15,
b_b010124,2210220003,,2210220003,,2022-10-22 13:00:00.000,1,
b_b002724,2208270002,,2208270002,,2022-08-27 12:00:00.000,1,15
b_b003305,2208280002,,2208280002,,2022-08-28 15:00:00.000,2,
b_b000064,2208270014,,2208270014,,2022-08-27 23:00:00.000,15,
b_b018591,2211120005,,2211120005,,2022-11-12 19:30:00.000,1,
b_b003789,2209180004,,2209180004,,2022-09-18 14:30:00.000,15,
b_b014207,2211010007,,2211010007,,2022-11-01 17:00:00.000,13,15
b_b000784,2208190009,,2208190009,,2022-08-19 22:00:00.000,15,15
b_b011158,2211030007,,2211030007,,2022-11-03 17:00:00.000,15,
b_b000564,2208050004,,2208050004,,2022-08-05 17:30:00.000,1,15
b_b000800,2209020005,,2209020005,,2022-09-02 17:30:00.000,5,
b_b000742,2208270006,,2208270006,,2022-08-27 18:00:00.000,2,
b_b000924,2208210005,,2208210005,,2022-08-21 14:00:00.000,1,
b_b012360,2210300002,,2210300002,,2022-10-30 11:00:00.000,1,1
b_b009304,2210310009,,2210310009,,2022-10-31 19:00:00.000,5,15
b_b001231,2208200005,,2208200005,,2022-08-20 13:30:00.000,4,
b_b000109,2208060009,,2208060009,,2022-08-06 09:00:00.000,1,
b_b004583,2209240005,,2209240005,,2022-09-24 05:00:00.000,1,
b_b015378,2211040004,,2211040004,,2022-11-04 15:00:00.000,4,
b_b011418,2210270007,,2210270007,,2022-10-27 14:30:00.000,15,
b_b011002,2210250010,,2210250021,,2022-10-25 15:00:00.000,15,
b_b000332,2208160001,2208160001,,2022-08-16 10:00:00.000,,,
b_b005114,2210080014,,2210080014,,2022-10-08 22:00:00.000,1,
b_b005396,2210020008,,2210020008,,2022-10-02 17:30:00.000,15,
b_b004694,2209240002,,2209240002,,2022-09-24 12:30:00.000,1,1
b_b008211,2210210002,,2210210002,,2022-10-21 06:00:00.000,5,15
b_b001713,2208280002,,2208280002,,2022-08-28 14:00:00.000,1,
b_b004554,2209250007,,2209250007,,2022-09-25 18:00:00.000,1,
b_b003942,2210020002,,2210020002,,2022-10-02 13:00:00.000,1,
c_c005654,2210160001,,2210160001,,2022-10-16 12:00:00.000,4,
b_b002660,2208200007,,2208200007,,2022-08-20 19:00:00.000,15,
b_b002330,2208260001,2208260001,,2022-08-26 17:00:00.000,,,
b_b004652,2210020004,,2210020004,,2022-10-02 13:30:00.000,1,
b_b003870,2209240006,,2209240006,,2022-09-24 11:30:00.000,15,
b_b009716,2210200004,,2210200004,,2022-10-20 19:00:00.000,15,
b_b003697,2209040003,,2209040003,,2022-09-04 10:30:00.000,1,
b_b014200,2210290008,,2210290008,,2022-10-29 09:30:00.000,1,
b_b001059,2208180005,,2208180005,,2022-08-18 18:00:00.000,1,1
b_b010318,2210230001,2210230001,,2022-10-23 10:30:00.000,,,
b_b006808,2210070008,,2210070008,,2022-10-07 19:30:00.000,1,
b_b011297,2211070010,,2211070010,,2022-11-07 19:00:00.000,15,
b_b004735,2209260009,,2209260009,,2022-09-26 18:30:00.000,1,
b_b004619,2209250001,2209250001,,2022-09-25 06:30:00.000,,,
b_b015736,2210290006,,2210290006,,2022-10-29 19:00:00.000,15,
b_b002455,2208250005,,2208250005,,2022-08-25 19:30:00.000,1,
b_b005753,2209280009,,2209280009,,2022-09-28 21:00:00.000,1,
b_b002219,2209020001,,2209020001,,2022-09-02 13:00:00.000,2,
b_b004953,2210020003,,2210020003,,2022-10-02 12:00:00.000,1,
b_b007929,2210160002,,2210160002,,2022-10-16 14:00:00.000,1,
b_b002723,2208190010,,2208190010,,2022-08-19 19:30:00.000,15,
b_b010850,2210260004,,2210260004,,2022-10-26 12:30:00.000,15,
b_b002538,2208240003,,2208240003,,2022-08-24 11:30:00.000,1,
b_b003322,2208240003,,2208240003,,2022-08-24 13:30:00.000,12,13
b_b003828,2209280006,,2209280006,,2022-09-28 18:00:00.000,13,
b_b007257,2210100003,,2210100003,,2022-10-10 21:00:00.000,1,
b_b007317,2210160003,,2210160003,,2022-10-16 13:00:00.000,1,
b_b000072,2208240003,,2208240003,,2022-08-24 11:00:00.000,1,
b_b014199,2210270007,,2210270007,,2022-10-27 16:30:00.000,1,
b_b007486,2210130011,,2210130011,,2022-10-13 00:30:00.000,15,
b_b000628,2208080008,,2208080008,,2022-08-08 18:00:00.000,1,
b_b003825,2209170003,,2209170003,,2022-09-17 13:30:00.000,1,
b_b015899,2211050006,,2211050006,,2022-11-05 17:30:00.000,15,
b_b000013,2208130004,,2208130004,,2022-08-13 03:30:00.000,13,15
b_b004546,2210010007,,2210010007,,2022-10-01 19:30:00.000,15,
d_d003524,2210110004,,2210110004,,2022-10-11 16:00:00.000,15,
b_b001453,2208260008,,2208260008,,2022-08-26 21:00:00.000,4,15
b_b003883,2210020003,,2210020003,,2022-10-02 19:30:00.000,1,
b_b001020,2208270007,,2208270007,,2022-08-27 17:00:00.000,1,
b_b015427,2210290004,,2210290004,,2022-10-29 10:30:00.000,12,
b_b001704,2208260001,2208260001,,2022-08-26 08:00:00.000,,,
b_b002045,2208280006,,2208280006,,2022-08-28 18:00:00.000,15,
b_b004571,2209250003,,2209250003,,2022-09-25 12:30:00.000,15,
b_b001567,2208200003,,2208200003,,2022-08-20 18:30:00.000,2,
b_b004393,2209260008,,2209260008,,2022-09-26 19:30:00.000,7,
b_b015510,2211010009,,2211010009,,2022-11-01 20:30:00.000,15,
b_b000564,2208050005,,2208050005,,2022-08-05 18:00:00.000,1,
b_b011658,2210250004,,2210250004,,2022-10-25 14:00:00.000,15,
b_b007693,2210230006,,2210230006,,2022-10-23 13:30:00.000,4,
b_b004417,2210150002,,2210150002,,2022-10-15 19:30:00.000,1,1
b_b000123,2208130001,,2208130001,,2022-08-13 13:00:00.000,15,
b_b000250,2208280005,,2208280005,,2022-08-28 15:30:00.000,15,
b_b015870,2211050001,2211050001,,2022-11-05 07:00:00.000,,,
b_b000335,2208130002,,2208130002,,2022-08-13 20:30:00.000,1,
b_b011697,2210250005,,2210250005,,2022-10-25 16:30:00.000,15,
c_c009231,2210230002,,2210230002,,2022-10-23 12:00:00.000,13,
b_b016586,2211050007,,2211050007,,2022-11-05 23:00:00.000,1,
b_b001563,2208250005,,2208250005,,2022-08-25 21:30:00.000,15,
b_b003877,2209170004,,2209170004,,2022-09-17 16:00:00.000,1,
b_b011470,2210270005,,2210270005,,2022-10-27 14:30:00.000,15,
b_b004164,2209270002,,2209270002,,2022-09-27 08:30:00.000,15,
b_b004025,2209220007,,2209220007,,2022-09-22 01:00:00.000,2,
b_b003096,2208310003,,2208310003,,2022-08-31 16:00:00.000,15,
b_b009610,2210220007,,2210220007,,2022-10-22 18:30:00.000,15,
b_b011743,2210290004,,2210290004,,2022-10-29 16:00:00.000,15,
b_b002674,2208240003,,2208240003,,2022-08-24 13:00:00.000,1,
b_b006813,2210030003,,2210030003,,2022-10-03 11:30:00.000,4,
b_b002640,2208280006,,2208280006,,2022-08-28 17:30:00.000,1,1
b_b002848,2209170004,,2209170004,,2022-09-17 13:30:00.000,1,
b_b002395,2209030003,,2209030003,,2022-09-03 10:30:00.000,7,
b_b000829,2208210002,,2208210002,,2022-08-21 14:00:00.000,1,15
b_b000156,2208290002,,2208290002,,2022-08-29 18:30:00.000,4,
b_b004930,2209250007,,2209250007,,2022-09-25 16:00:00.000,1,
b_b014913,2210280003,,2210280003,,2022-10-28 20:30:00.000,13,15
b_b011139,2210300004,,2210300004,,2022-10-30 16:00:00.000,15,
b_b005832,2210080001,2210080001,,2022-10-08 17:00:00.000,,,
b_b002527,2208210003,,2208210003,,2022-08-21 13:30:00.000,15,
b_b001891,2208200004,,2208200004,,2022-08-20 14:30:00.000,1,
b_b002759,2208190005,,2208190005,,2022-08-19 14:30:00.000,15,
b_b000468,2208050002,,2208050002,,2022-08-05 10:30:00.000,1,
b_b009875,2210300004,,2210300004,,2022-10-30 14:00:00.000,1,1
b_b000444,2208260009,,2208260009,,2022-08-26 20:00:00.000,13,
b_b014172,2210280005,,2210280005,,2022-10-28 19:00:00.000,1,
b_b001514,2208200005,,2208200005,,2022-08-20 15:30:00.000,2,1
b_b004789,2209240004,,2209240004,,2022-09-24 17:00:00.000,15,
b_b002527,2208210008,,2208210008,,2022-08-21 21:00:00.000,1,
b_b011609,2210290002,,2210290002,,2022-10-29 09:00:00.000,1,
b_b001430,2208240012,,2208240012,,2022-08-24 21:30:00.000,15,
b_b004553,2209250005,,2209250005,,2022-09-25 13:00:00.000,15,
b_b000015,2208140007,,2208140007,,2022-08-14 19:00:00.000,2,
b_b004301,2209240010,,2209240010,,2022-09-24 15:00:00.000,15,
b_b014938,2210290005,,2210290005,,2022-10-29 02:30:00.000,1,
b_b004712,2210010006,,2210010006,,2022-10-01 20:00:00.000,1,
b_b010208,2210270008,,2210270008,,2022-10-27 17:30:00.000,14,
b_b002940,2208300003,,2208300003,,2022-08-30 16:00:00.000,4,12
b_b011908,2210260003,,2210260003,,2022-10-26 13:00:00.000,1,
b_b004467,2209240003,,2209240003,,2022-09-24 09:30:00.000,1,
b_b001339,2208200005,,2208200005,,2022-08-20 14:30:00.000,1,
b_b011837,2210290007,,2210290007,,2022-10-29 18:00:00.000,5,
b_b012664,2210290003,,2210290003,,2022-10-29 12:30:00.000,1,15
b_b004826,2209240006,,2209240006,,2022-09-24 10:00:00.000,15,
b_b007276,2210160001,2210160001,,2022-10-16 10:00:00.000,,,
b_b000230,2208140006,,2208140006,,2022-08-14 16:00:00.000,15,1
b_b018656,2211130001,2211130001,,2022-11-13 08:30:00.000,,,
b_b007277,2210110007,,2210110007,,2022-10-11 04:00:00.000,1,
b_b000676,2208210003,,2208210003,,2022-08-21 10:30:00.000,1,
b_b003415,2208220001,,2208220001,,2022-08-22 10:00:00.000,1,15
b_b004642,2209290010,,2209290010,,2022-09-29 15:30:00.000,15,
b_b010769,2210230003,,2210230003,,2022-10-23 14:30:00.000,1,
b_b002773,2208230006,,2208230006,,2022-08-23 17:30:00.000,15,
b_b000768,2209020002,,2209020002,,2022-09-02 16:00:00.000,1,1
b_b007906,2210230008,,2210230008,,2022-10-23 14:00:00.000,15,
b_b009840,2210230004,,2210230004,,2022-10-23 14:30:00.000,1,
b_b005899,2210090003,,2210090003,,2022-10-09 13:00:00.000,1,
b_b012433,2210290001,2210290001,,2022-10-29 18:30:00.000,,,
b_b000590,2208080004,,2208080004,,2022-08-08 10:30:00.000,16,15
b_b000740,2208220006,,2208220006,,2022-08-22 15:00:00.000,5,
c_c002009,2209240004,,2209240004,,2022-09-24 18:30:00.000,1,
b_b011222,2210290004,,2210290004,,2022-10-29 13:30:00.000,1,
b_b001821,2209090008,,2209090008,,2022-09-09 18:30:00.000,15,
b_b014434,2210290006,,2210290006,,2022-10-29 12:30:00.000,11,11
