TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
c_c007693,2210190013,,2210190013,,2022-10-19 19:00:00.000,15,
c_c003122,2209240012,,2209240012,,2022-09-24 20:30:00.000,15,
c_c012645,2211050003,,2211050003,,2022-11-05 12:00:00.000,7,
c_c007894,2210300005,,2210300005,,2022-10-30 13:00:00.000,13,
c_c000400,2209070003,,2209070003,,2022-09-07 20:30:00.000,13,
c_c005352,2210220006,,2210220006,,2022-10-22 15:30:00.000,1,
c_c000820,2208240004,,2208240004,,2022-08-24 19:00:00.000,4,
c_c001395,2208250001,,2208250001,,2022-08-25 07:00:00.000,15,
c_c001884,2208270014,,2208270014,,2022-08-27 22:00:00.000,15,
c_c002086,2209290002,,2209290002,,2022-09-29 09:00:00.000,1,
c_c009092,2210290003,,2210290003,,2022-10-29 14:30:00.000,1,
c_c004513,2210070003,,2210070003,,2022-10-07 17:30:00.000,1,
c_c011913,2210300009,,2210300009,,2022-10-30 16:00:00.000,15,
c_c005746,2210270004,,2210270004,,2022-10-27 12:30:00.000,1,
c_c001242,2209070005,,2209070005,,2022-09-07 12:30:00.000,13,15
c_c002924,2209230006,,2209230006,,2022-09-23 02:00:00.000,4,
c_c003711,2209300005,,2209300005,,2022-09-30 16:00:00.000,15,
c_c008983,2210270003,,2210270003,,2022-10-27 17:00:00.000,1,
c_c009269,2210220003,,2210220003,,2022-10-22 19:00:00.000,1,
c_c006710,2210220009,,2210220009,,2022-10-22 20:30:00.000,15,
c_c010912,2211080006,,2211080006,,2022-11-08 17:30:00.000,1,
c_c002305,2209090002,,2209090002,,2022-09-09 13:00:00.000,14,
c_c003899,2210010001,2210010001,,2022-10-01 09:00:00.000,,,
c_c006683,2210220006,,2210220006,,2022-10-22 18:00:00.000,1,15
c_c001080,2209040002,,2209040002,,2022-09-04 17:30:00.000,1,
c_c008721,2210230003,,2210230003,,2022-10-23 11:30:00.000,2,
b_b000677,2210280007,,2210280007,,2022-10-28 13:30:00.000,1,
c_c004876,2210090001,,2210090001,,2022-10-09 10:00:00.000,1,
