TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
d_d005326,2210100002,,2210100002,,2022-10-10 20:30:00.000,2,13
d_d010442,2211030001,,2211030001,,2022-11-03 20:30:00.000,2,
d_d001212,2209080004,,2209080004,,2022-09-08 14:30:00.000,16,
d_d010496,2211040005,,2211040005,,2022-11-04 15:00:00.000,1,
d_d002566,2210010010,,2210010010,,2022-10-01 20:00:00.000,15,
d_d002711,2210230007,,2210230007,,2022-10-23 21:00:00.000,15,
d_d004407,2210160001,2210160001,,2022-10-16 10:30:00.000,,,
a_a000490,2208200002,,2208200002,,2022-08-20 10:00:00.000,1,
b_b002600,2208200003,,2208200003,,2022-08-20 12:00:00.000,10,15
d_d001896,2210080006,,2210080006,,2022-10-08 17:30:00.000,2,
c_c002221,2209280006,,2209280006,,2022-09-28 18:00:00.000,15,
d_d007038,2210300002,,2210300002,,2022-10-30 09:30:00.000,15,15
d_d002716,2210070006,,2210070006,,2022-10-07 15:30:00.000,2,2
d_d008008,2211060001,,2211060001,,2022-11-06 11:00:00.000,13,15
d_d001229,2209150005,,2209150005,,2022-09-15 16:00:00.000,13,
d_d006245,2210210005,,2210210005,,2022-10-21 15:30:00.000,1,
d_d000112,2208130004,,2208130004,,2022-08-13 20:00:00.000,1,
d_d002005,2210030003,,2210030003,,2022-10-03 16:00:00.000,1,
d_d008161,2210300004,,2210300004,,2022-10-30 13:00:00.000,1,
d_d000084,2208130004,,2208130004,,2022-08-13 17:00:00.000,2,
d_d001730,2210270006,,2210270006,,2022-10-27 09:00:00.000,2,
d_d004266,2210150008,,2210150008,,2022-10-15 21:00:00.000,1,
d_d001360,2209140007,,2209140007,,2022-09-14 15:30:00.000,2,
a_a002144,2209110006,,2209110006,,2022-09-11 10:30:00.000,15,
d_d001716,2210050004,,2210050004,,2022-10-05 21:00:00.000,2,
d_d002983,2210170001,2210170001,,2022-10-17 11:30:00.000,,,
d_d001541,2209260011,,2209260011,,2022-09-26 16:30:00.000,2,
d_d009251,2210310001,2210310001,,2022-10-31 12:00:00.000,,,
d_d002165,2210020003,,2210020003,,2022-10-02 15:00:00.000,1,
d_d004589,2210140001,,2210140001,,2022-10-14 06:00:00.000,2,
d_d000412,2208240004,,2208240004,,2022-08-24 21:00:00.000,2,
c_c006785,2210220001,2210220001,,2022-10-22 18:30:00.000,,,
d_d000898,2208250002,,2208250002,,2022-08-25 12:00:00.000,15,
d_d001735,2210040009,,2210040009,,2022-10-04 20:00:00.000,1,
d_d001862,2210170002,,2210170002,,2022-10-17 21:00:00.000,2,
d_d009284,2211020003,,2211020003,,2022-11-02 14:30:00.000,15,
d_d002283,2210070003,,2210070003,,2022-10-07 12:00:00.000,10,
d_d001315,2209230004,,2209230004,,2022-09-23 19:30:00.000,2,
d_d006932,2210280005,,2210280005,,2022-10-28 20:30:00.000,1,
d_d007391,2210250001,2210250001,,2022-10-25 15:00:00.000,,,
d_d010177,2211050002,,2211050002,,2022-11-05 09:00:00.000,5,
