TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b006423,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
b_b003926,1,주유비,12,자가용(승용/승합/트럭 등등),2,5488500611,행복주유소,2022-10-03 11:12:00.000,1,36777,주유비
b_b008189,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,22100,
b_b018641,50,교통비,0,버스 + 지하철,2,,,,,6500,
b_b002963,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,2000,
b_b001396,12,교통비,11,시외/고속버스,1,6058121736,부산서부버스터미날주식회사,2022-08-19 00:00:00.000,1,13600,버스비
b_b003955,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,15000,
b_b004512,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,,,2022-10-01 12:30:00.000,1,169150,렌트비
b_b009490,50,교통비,0,버스 + 지하철,1,,,,,16700,
b_b006780,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,11000,
b_b010837,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b003847,1,주유비,0,자가용(승용/승합/트럭 등등),8,,,,,250000,
b_b015292,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,9600,
b_b006287,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,58140,
b_b000507,7,교통비,2,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-08-02 01:26:00.000,1,36600,기차표 
b_b008387,9,교통비,2,항공기,4,6058184518,에어부산 주식회사,2022-09-06 00:00:00.000,1,133040,비행기표
c_c008802,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,7300,
b_b004418,1,주차비,11,자가용(승용/승합/트럭 등등),3,4118601799,토스페이먼츠주식회사,2022-09-29 13:57:00.000,1,2000,주차비
b_b004658,7,교통비,1,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-09-28 17:20:00.000,1,59800,기차표 
b_b001501,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,50000,
c_c002510,11,교통비,1,관광버스,1,,,2022-09-24 00:00:00.000,1,32400,[부산]시티투어버스1일권이용권;[부산]부산투어패스 부산여행36/24/48시간프리패스권
b_b002723,7,교통비,0,KTX/SRT(고속열차),1,,,,,60000,기차표 어른1매
b_b009346,4,교통비,2,택시,2,2270440624,개인택시,2022-10-27 16:03:00.000,1,4200,택시비
