TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c009284,8,교통비,4,새마을/무궁화열차,2,3148210024,한국철도공사,2022-10-20 20:33:00.000,3,8400,기차표 
c_c013717,8,교통비,0,새마을/무궁화열차,1,,,,,10800,기차표
c_c011225,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,1500,
c_c004606,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,12000,
c_c013074,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,1300,
c_c005217,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,15000,
c_c010889,4,교통비,1,택시,1,3070572322,개인택시,2022-11-07 14:19:00.000,1,5800,택시비
c_c009282,7,교통비,0,KTX/SRT(고속열차),2,,,,,49900,기차표
c_c004655,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,6000,
c_c006382,50,교통비,0,버스 + 지하철,1,,,,,26250,
c_c003088,4,교통비,3,택시,1,3062208940,개인택시,2022-09-25 13:47:00.000,1,7900,택시비
c_c001946,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,4500,
c_c007430,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,60000,
c_c001615,7,교통비,0,KTX/SRT(고속열차),2,,,,,91600,기차표
c_c011568,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18400,
c_c009136,2,렌탈비,1,렌터카(승용/승합/버스 등등),3,6168190529,주식회사 쏘카,2022-10-23 18:33:00.000,1,96470,렌트비
c_c007954,8,교통비,1,새마을/무궁화열차,1,2148189957,웹투어,2022-10-23 13:39:00.000,1,3140,기차표
c_c012176,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c000326,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,5400,
c_c008842,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,65000,
c_c011995,1,통행료,0,자가용(승용/승합/트럭 등등),5,,,,,7100,
c_c004486,1,주차비,0,자가용(승용/승합/트럭 등등),8,,,,,24000,
c_c013244,8,교통비,11,새마을/무궁화열차,1,3148210024,한국철도공사,2022-11-01 23:51:00.000,3,15200,기차표
c_c012599,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,40000,
c_c002504,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,119000,
c_c010922,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,9200,
c_c001032,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,54000,
c_c010847,2,렌탈비,0,렌터카(승용/승합/버스 등등),3,,,,,39350,
c_c006716,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,25000,
c_c008869,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,40000,
c_c007409,8,교통비,0,새마을/무궁화열차,2,,,,,21200,기차표
c_c010919,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,9300,
c_c005772,50,교통비,0,버스 + 지하철,1,,,,,4200,
c_c008972,4,교통비,1,택시,1,,,2022-10-30 14:30:00.000,1,6200,택시비
c_c012126,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,7800,
c_c007540,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,1200,
c_c005381,8,교통비,0,새마을/무궁화열차,1,,,,,24000,기차표
c_c002594,7,교통비,3,KTX/SRT(고속열차),2,3148210024,한국철도공사,,1,42100,기차표 
c_c000506,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,15000,
c_c003867,50,교통비,0,버스 + 지하철,1,,,,,4350,
c_c002043,50,교통비,0,버스 + 지하철,1,,,,,6000,
c_c008815,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,3300,
c_c013674,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,2000,
