TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
b_b015715,B04,b015715,22;,2022-10-29,2022-10-30,대중교통 등,,22;,22;4;1
b_b000419,B01,b000419,21;,2022-08-06,2022-08-08,자가용,,2;,21;11;5
b_b013638,B01,b013638,28;,2022-11-05,2022-11-06,,,28;,3;6;21
b_b007836,B02,b007836,13;24;26;3;4;,2022-10-18,2022-10-19,대중교통 등,,13;24;26;3;4;,26;6;3
b_b004718,B04,b004718,1;26;6;9;,2022-10-01,2022-10-03,대중교통 등,경상권에 거주하는 39세 이하 커플,1;26;6;9;,9;6;1
b_b001944,B04,b001944,1;22;23;26;5;,2022-08-21,2022-08-24,대중교통 등,경상권 외에 거주하는 39세 이하 커플,1;22;23;26;5;,5;22;23
b_b010123,B02,b010123,2;12;22;6;1;21;4;,2022-10-29,2022-10-30,자가용,,2;12;22;6;1;21;4;,2;3;12
b_b005554,B01,b005554,21;22;27;,2022-09-30,2022-10-03,대중교통 등,,21;22;27;,21;22;27
b_b008051,B06,b008051,1;4;23;28;5;2;,2022-10-30,2022-10-31,자가용,경상권에 거주하는 39세 이하 커플,1;4;23;28;5;2;,2;12;6
b_b011374,B03,b011374,2;21;24;3;,2022-10-23,2022-10-25,자가용,,2;21;24;3;,21;24;22
b_b004400,B01,b004400,10;2;22;23;26;,2022-10-02,2022-10-04,자가용,,10;2;22;23;26;,22;26;2
b_b000223,B01,b000223,21;22;26;27;,2022-08-06,2022-08-08,자가용,,2;,28;21;6
b_b008207,B04,b008207,22;4;6;1;21;26;24;23;,2022-10-24,2022-10-26,대중교통 등,,22;4;6;1;21;26;24;23;,22;24;3
c_c008092,B05,c008092,1;2;3;4;5;,2022-10-21,2022-10-25,대중교통 등,호남권에 거주하는 39세 이하 커플,1;2;3;4;5;,6;9;28
b_b004822,B04,b004822,24;4;,2022-09-27,2022-09-29,대중교통 등,,24;4;,4;22;23
b_b004164,B04,b004164,10;21;22;24;28;,2022-09-26,2022-09-30,자가용,,10;21;22;24;28;,10;21;23
b_b005865,B01,b005865,1;2;4;5;6;,2022-10-01,2022-10-03,자가용,,1;2;4;5;6;,2;10;22
b_b014942,B06,b014942,21;22;24;26;27;,2022-10-29,2022-10-30,자가용,,21;22;24;26;27;,22;24;21
b_b004144,B02,b004144,1;22;26;4;,2022-09-24,2022-09-25,자가용,,1;22;26;4;,22;5;1
b_b006325,B03,b006325,2;22;3;,2022-10-01,2022-10-02,자가용,,2;22;3;,2;6;9
b_b001393,B01,b001393,21;22;8;9;,2022-08-27,2022-08-29,자가용,,21;22;8;9;,8;21;22
b_b005111,B02,b005111,11;,2022-10-10,2022-10-11,자가용,,11;,11;21;22
b_b004482,B01,b004482,13;3;,2022-09-20,2022-09-21,자가용,,13;3;,3;27;22
b_b006456,B01,b006456,4;6;,2022-10-12,2022-10-13,,수도권/강원에 거주하는 40세 이상 3인 이상 친구,4;6;,1;4;6
b_b007088,B04,b007088,1;5;22;10;27;,2022-10-16,2022-10-17,대중교통 등,,1;5;22;10;27;,10;22;5
b_b000473,B04,b000473,1;10;11;3;6;,2022-08-12,2022-08-15,대중교통 등,,1;,1;10;22
b_b011210,B04,b011210,1;3;4;,2022-11-05,2022-11-06,,,1;3;4;,3;4;1
b_b010032,B02,b010032,13;28;3;,2022-10-26,2022-10-28,자가용,,13;28;3;,13;3;28
b_b007494,B06,b007494,11;,2022-10-15,2022-10-16,,,11;,11;3;6
b_b011608,B01,b011608,22;,2022-10-30,2022-10-31,,,22;,22;28;24
b_b005704,B03,b005704,22;25;,2022-10-15,2022-10-16,자가용,,22;25;,22;11;2
b_b011126,B01,b011126,12;22;26;9;,2022-10-28,2022-10-29,,,12;22;26;9;,22;26;21
b_b007312,B05,b007312,1;2;22;26;4;,2022-10-11,2022-10-12,대중교통 등,,1;2;22;26;4;,9;4;22
b_b005770,B01,b005770,22;24;26;27;8;,2022-10-08,2022-10-10,자가용,,22;24;26;27;8;,8;22;24
b_b013766,B04,b013766,2;,2022-10-30,2022-10-31,,경상권에 거주하는 40세 이상 자녀 동반,2;,5;2;6
b_b006184,B01,b006184,5;,2022-10-08,2022-10-10,자가용,수도권/강원에 거주하는 39세 이하 3인 이상 친구,5;,5;8;22
b_b003647,B02,b003647,1;2;22;23;,2022-08-29,2022-08-31,자가용,,1;2;22;23;,2;23;1
b_b003041,B01,b003041,1;25;4;6;9;,2022-08-27,2022-08-29,자가용,,1;25;4;6;9;,6;21;4
b_b014221,B06,b014221,9;3;22;,2022-10-27,2022-10-29,대중교통 등,,9;3;22;,9;6;3
b_b010850,B06,b010850,3;,2022-10-25,2022-10-27,자가용,,3;,3;22;1
b_b004707,B01,b004707,1;21;23;,2022-09-24,2022-09-26,자가용,,1;21;23;,23;21;10
b_b001095,B06,b001095,2;,2022-08-20,2022-08-22,자가용,경상권에 거주하는 40세 이상 자녀 동반,2;,2;5;24
b_b014853,B03,b014853,6;,2022-10-30,2022-11-01,자가용,,6;,21;6;3
b_b006641,B01,b006641,5;,2022-10-29,2022-10-30,자가용,수도권/강원에 거주하는 40세 이상 3인 이상 친구,5;,2;5;24
b_b001065,B03,b001065,21;22;26;3;6;,2022-09-01,2022-09-03,자가용,,21;22;26;3;6;,3;26;22
b_b011219,B03,b011219,5;,2022-10-30,2022-10-31,,,5;,5;27;6
b_b014369,B03,b014369,2;21;22;26;27;,2022-10-31,2022-11-01,대중교통 등,,2;21;22;26;27;,2;22;3
b_b000199,B01,b000199,1;21;24;27;28;,2022-08-10,2022-08-14,자가용,,1;,21;24;1
b_b009808,B01,b009808,1;22;26;27;4;,2022-10-27,2022-10-29,대중교통 등,,1;22;26;27;4;,21;1;27
b_b007681,B01,b007681,21;22;28;5;,2022-10-16,2022-10-17,,,21;22;28;5;,5;28;21
b_b004000,B03,b004000,1;12;22;26;3;,2022-09-27,2022-09-29,자가용,,1;12;22;26;3;,22;3;1
b_b000119,B01,b000119,1;12;3;7;9;,2022-08-12,2022-08-15,자가용,,1;,1;3;22
b_b003934,B04,b003934,4;7;,2022-09-23,2022-09-25,대중교통 등,,4;7;,4;24;7
b_b004706,B01,b004706,22;25;,2022-10-02,2022-10-04,대중교통 등,,22;25;,22;25;24
b_b000032,B01,b000032,23;26;5;7;9;,2022-08-06,2022-08-09,자가용,수도권/강원에 거주하는 39세 이하 3인 이상 친구,5;,5;7;4
b_b001453,B01,b001453,22;24;4;5;,2022-08-23,2022-08-29,대중교통 등,,22;24;4;5;,21;22;24
b_b006766,B01,b006766,9;28;22;,2022-10-03,2022-10-04,대중교통 등,,9;28;22;,28;22;9
b_b011289,B01,b011289,27;,2022-10-29,2022-10-30,,,27;,28;27;22
b_b014497,B01,b014497,21;22;5;,2022-10-29,2022-10-30,,수도권/강원에 거주하는 39세 이하 커플,21;22;5;,5;21;22
b_b014367,B01,b014367,24;27;6;,2022-10-29,2022-10-30,자가용,,24;27;6;,6;26;11
b_b004590,B01,b004590,2;,2022-09-22,2022-09-23,자가용,수도권/강원에 거주하는 39세 이하 자녀 동반,2;,2;22;26
b_b005782,B01,b005782,1;13;28;,2022-10-29,2022-10-31,자가용,,1;13;28;,13;28;3
b_b005964,B06,b005964,9;,2022-10-01,2022-10-02,자가용,,9;,22;9;24
b_b008194,B02,b008194,1;26;4;6;7;,2022-10-17,2022-10-19,대중교통 등,,1;26;4;6;7;,1;3;26
b_b015930,B01,b015930,1;21;6;,2022-11-05,2022-11-06,,수도권/강원에 거주하는 39세 이하 커플,1;21;6;,22;24;26
b_b012632,B03,b012632,21;22;28;3;9;,2022-10-29,2022-10-30,자가용,,21;22;28;3;9;,21;9;27
b_b009612,B04,b009612,6;9;4;22;,2022-10-30,2022-10-31,대중교통 등,,6;9;4;22;,4;6;22
b_b000671,B04,b000671,22;,2022-08-26,2022-08-29,자가용,,22;,26;22;6
b_b011921,B02,b011921,1;2;21;22;7;,2022-10-29,2022-10-30,자가용,,1;2;21;22;7;,1;2;22
