TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
c_c011995,C02,c011995,21;22;26;,2022-10-30,2022-10-31,자가용,,21;22;26;,21;24;26
c_c008882,C06,c008882,2;6;,2022-11-06,2022-11-07,,,2;6;,2;24;11
c_c003940,C01,c003940,22;4;,2022-10-01,2022-10-03,자가용,,22;4;,22;3;4
c_c012638,C01,c012638,26;1;22;7;24;6;6;9;,2022-10-30,2022-11-01,자가용,,26;1;22;7;24;6;6;9;,1;6;7
c_c011983,C03,c011983,22;23;26;4;,2022-10-29,2022-10-31,자가용,,22;23;26;4;,5;22;26
c_c012367,C06,c012367,1;2;3;4;5;,2022-11-05,2022-11-06,,,1;2;3;4;5;,1;24;21
c_c013909,C07,c013909,22;6;3;1;,2022-11-05,2022-11-06,자가용,,22;6;3;1;,6;1;3
b_b006673,C02,b006673,22;26;21;24;,2022-10-03,2022-10-04,자가용,,22;26;21;24;,26;12;22
c_c012881,C04,c012881,1;,2022-11-05,2022-11-07,자가용,,1;,1;6;22
c_c002721,C06,c002721,2;22;26;,2022-09-25,2022-09-27,자가용,충청권에 거주하는 40세 이상 3인 이상 친구,2;22;26;,22;9;2
c_c005656,C06,c005656,27;3;4;5;9;,2022-10-09,2022-10-10,자가용,,27;3;4;5;9;,3;4;9
c_c008805,C04,c008805,1;4;6;,2022-11-05,2022-11-06,,충청권에 거주하는 39세 이하 커플,1;4;6;,1;4;6
c_c008955,C05,c008955,1;24;27;4;,2022-10-29,2022-10-30,,,1;24;27;4;,13;4;24
c_c002556,C04,c002556,1;22;3;6;9;,2022-09-17,2022-09-20,대중교통 등,,1;22;3;6;9;,6;1;3
c_c009097,C03,c009097,22;,2022-10-30,2022-10-31,자가용,,22;,22;9;6
c_c002632,C04,c002632,10;23;4;,2022-09-17,2022-09-19,대중교통 등,,10;23;4;,4;10;23
c_c002359,C02,c002359,12;2;22;3;4;,2022-09-12,2022-09-14,대중교통 등,,12;2;22;3;4;,22;6;9
c_c005072,C02,c005072,22;26;4;,2022-10-03,2022-10-04,,,22;26;4;,26;10;2
c_c005738,C06,c005738,1;28;3;4;8;,2022-10-09,2022-10-10,자가용,,1;28;3;4;8;,9;3;22
c_c000914,C03,c000914,21;22;24;28;4;,2022-08-25,2022-08-27,대중교통 등,,21;22;24;28;4;,24;28;21
c_c008109,C03,c008109,2;,2022-10-23,2022-10-24,,,2;,2;22;24
c_c011932,C02,c011932,28;5;,2022-11-05,2022-11-06,대중교통 등,호남권 외에 거주하는 39세 이하 3인 이상 친구,28;5;,28;27;5
