TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b009514,31,여,20,6,1,1,3,3,,5,10,2,1,26,26410,48,48120,48,48330,3,4,2,4,4,4,2,4,울산광역시,경남,2인 여행(가족 외),2022-10-30~2022-10-30,6,2,,1
b015795,29,여,30,6,1,1,1,3,,5,,2,2,11,11110,27,27260,46,46710,6,1,1,3,6,1,6,6,광주광역시,대구,나홀로 여행,2022-10-29~2022-10-29,8,2,1,0
b004208,31,여,20,6,1,1,4,2,,4,11,2,4,31,31140,26,26350,26,26710,4,3,3,4,4,4,6,5,울산광역시,경북,2인 여행(가족 외),2022-09-24~2022-09-25,3,7,5,1
b006840,11,여,30,6,1,1,4,3,,5,8,3,2,50,50110,42,42110,46,46130,4,4,2,2,6,5,1,7,서울특별시,강원,나홀로 여행,2022-10-05~2022-10-05,5,7,1,1
b002386,26,남,40,4,1,2,4,5,,7,7,3,6,26,26710,48,48310,47,47130,1,1,3,3,1,2,7,7,부산광역시,울산,자녀 동반 여행,2022-08-22~2022-08-23,3,7,2,3
b006116,28,여,30,6,1,2,3,3,,5,8,3,8,26,26350,42,42210,42,42830,6,2,4,3,2,4,4,3,인천광역시,강원,나홀로 여행,2022-10-08~2022-10-10,2,6,4,0
b006118,28,남,30,7,1,2,3,3,,6,6,3,2,42,42150,26,26350,28,28110,1,1,4,3,3,5,5,5,인천광역시,강원,자녀 동반 여행,2022-10-08~2022-10-10,9,2,3,2
b001565,47,남,30,6,1,2,2,4,,4,4,2,1,48,48220,47,47110,26,26290,1,1,6,3,3,2,2,7,경상북도,경북,2인 가족 여행,2022-08-24~2022-08-26,3,5,1,1
b000446,27,여,20,4,1,1,3,,2,1,5,3,2,11,11230,26,26350,50,50110,5,3,3,3,3,5,3,3,대구광역시,경북,3인 이상 여행(가족 외),2022-08-12~2022-08-13,1,3,2,5
b000381,47,남,30,6,1,2,4,2,,12,12,3,1,47,47280,47,47130,47,47900,5,4,5,4,2,6,3,2,경상북도,대구,3인 이상 여행(가족 외),2022-08-14~2022-08-15,7,1,8,3
b008379,41,여,30,5,1,2,2,3,,5,6,4,1,42,42170,42,42150,42,42230,1,1,5,6,1,7,2,7,경기도,경남,2인 여행(가족 외),2022-10-15~2022-10-16,2,1,3,1
b004775,26,남,20,5,2,1,4,4,,3,8,2,2,26,26110,26,26410,26,26350,5,5,4,5,4,2,3,5,부산광역시,경남,3인 이상 여행(가족 외),2022-09-30~2022-10-01,7,9,2,3
b015092,48,여,40,5,1,2,4,11,,1,6,2,2,26,26260,11,11200,48,48250,3,1,1,2,2,2,2,1,경상남도,부산,자녀 동반 여행,2022-10-30~2022-10-30,3,5,1,1
b006723,27,여,60,7,1,3,1,11,,7,,2,2,48,48310,46,46910,26,26350,4,1,2,1,2,1,2,6,대구광역시,경북,나홀로 여행,2022-10-11~2022-10-11,8,1,2,0
b006998,31,여,20,6,1,1,2,3,,4,7,2,3,26,26500,26,26350,47,47130,2,2,2,5,5,5,6,6,울산광역시,부산,나홀로 여행,2022-10-08~2022-10-08,1,7,2,0
b004352,11,여,40,8,5,1,2,2,,2,2,3,2,26,26110,42,42210,44,44825,2,1,4,4,2,3,6,5,서울특별시,강원,2인 여행(가족 외),2022-09-21~2022-09-23,7,3,1,1
b011008,41,남,30,7,5,2,2,13,,1,5,2,3,42,42150,47,47130,45,45110,4,6,2,2,2,2,3,3,경기도,강원,2인 여행(가족 외),2022-11-05~2022-11-05,8,1,3,1
b009520,47,여,20,6,1,1,3,12,,3,10,2,1,46,46150,31,31110,47,47130,2,1,1,2,3,6,2,2,경상북도,울산,2인 여행(가족 외),2022-10-22~2022-10-23,1,7,2,1
b010988,48,여,30,6,1,2,3,3,,3,4,2,1,11,11110,41,41110,46,46130,2,5,1,5,6,2,3,3,경상남도,경남,3대 동반 여행(친척 포함),2022-10-28~2022-10-28,3,8,1,3
b002397,41,남,40,6,1,2,4,2,,5,6,3,5,42,42230,41,41590,44,44210,4,2,2,2,2,4,3,6,경기도,강원,자녀 동반 여행,2022-08-21~2022-08-24,1,8,3,3
b007486,11,여,20,6,1,1,2,2,,4,5,3,3,42,42150,42,42170,43,43130,3,3,2,2,6,5,5,5,서울특별시,강원,나홀로 여행,2022-10-13~2022-10-13,2,1,7,0
b005231,11,남,30,7,1,2,4,3,,12,12,2,3,41,41820,42,42760,30,30200,1,7,1,7,7,1,1,1,서울특별시,강원,자녀 동반 여행,2022-10-02~2022-10-02,6,3,1,3
b000792,41,남,40,6,1,2,4,2,,10,11,3,3,42,42210,42,42230,46,46130,2,1,2,2,6,3,5,6,경기도,경북,자녀 동반 여행,2022-10-08~2022-10-10,8,3,1,3
b005151,28,남,50,6,1,2,4,3,,4,4,3,3,42,42210,46,46780,44,44130,5,6,5,4,4,3,5,3,인천광역시,강원,3대 동반 여행(친척 포함),2022-10-22~2022-10-23,3,5,2,4
b006711,48,여,30,6,1,2,4,4,,3,5,3,10,48,48860,45,45140,48,48820,1,7,7,7,1,7,1,6,경상남도,경남,자녀 동반 여행,2022-10-15~2022-10-15,3,1,6,3
b008091,11,남,30,6,1,4,1,2,,12,,2,2,50,50110,26,26500,42,42830,2,6,4,5,6,4,3,4,서울특별시,경북,3인 이상 여행(가족 외),2022-10-22~2022-10-23,3,1,9,11
b006236,26,여,30,6,1,2,2,3,,3,6,2,1,26,26350,42,42150,42,42190,6,4,4,1,3,4,4,7,부산광역시,경북,2인 여행(가족 외),2022-10-04~2022-10-05,3,5,1,1
b006815,26,여,30,7,1,1,2,2,,5,10,2,2,42,42820,11,11110,50,50110,3,2,4,5,4,1,6,2,부산광역시,경북,나홀로 여행,2022-10-15~2022-10-15,6,1,3,1
b007502,48,여,30,6,1,2,3,11,,1,5,2,2,48,48240,48,48120,26,26710,4,4,5,4,5,6,2,6,경상남도,경남,자녀 동반 여행,2022-10-22~2022-10-22,7,8,5,2
b011156,41,여,40,6,1,2,4,4,,3,7,3,4,41,41650,42,42230,28,28710,2,6,2,6,6,6,2,6,경기도,강원,2인 가족 여행,2022-10-29~2022-10-29,1,3,7,1
