TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c003867,48,여,20,5,1,1,1,2,,4,,3,3,47,47130,42,42150,26,26350,2,1,2,3,5,5,2,5,경상남도,전북,나홀로 여행,2022-09-29~2022-09-30,1,7,2,0
c000679,11,여,20,6,1,1,1,2,,4,,2,1,50,50130,50,50110,42,42830,4,4,4,4,4,4,7,7,서울특별시,전북,2인 여행(가족 외),2022-08-21~2022-08-22,5,3,6,1
c013674,11,여,20,6,1,1,2,3,,4,6,3,4,26,26200,11,11680,50,50110,1,1,5,1,1,1,1,7,서울특별시,충남,부모 동반 여행,2022-11-05~2022-11-05,1,8,3,3
c010826,45,여,20,6,1,1,2,12,,1,1,3,2,45,45190,42,42150,11,11350,5,3,3,6,6,6,5,6,전라북도,전북,나홀로 여행,2022-10-27~2022-10-27,7,2,4,0
c012020,41,여,40,6,1,2,2,11,,3,7,2,3,43,43150,42,42150,41,41480,1,7,4,7,4,6,1,4,경기도,전북,2인 가족 여행,2022-10-29~2022-10-29,3,1,7,1
c009357,44,남,30,4,4,4,2,4,,3,4,2,1,50,50110,26,26350,44,44230,2,1,2,4,6,2,6,7,충청남도,충남,2인 여행(가족 외),2022-10-25~2022-10-25,3,,,1
c012760,48,여,40,6,1,2,3,11,,2,9,2,2,48,48880,27,27710,46,46130,4,6,4,2,4,4,2,6,경상남도,전남,3인 이상 여행(가족 외),2022-11-06~2022-11-06,1,3,7,2
c003756,43,남,20,4,1,1,2,3,,4,5,2,2,27,27260,27,27140,26,26530,6,3,4,3,5,6,5,3,충청북도,충북,2인 여행(가족 외),2022-09-27~2022-09-28,2,4,9,1
c003541,41,여,40,6,1,2,6,3,,6,10,3,6,42,42210,47,47770,43,43720,1,1,1,6,7,6,1,3,경기도,충북,2인 가족 여행,2022-10-30~2022-10-31,9,3,6,1
c002909,11,여,20,6,1,1,1,3,,4,,3,2,42,42150,42,42170,50,50110,2,3,5,2,2,4,7,3,서울특별시,세종,3대 동반 여행(친척 포함),2022-10-02~2022-10-02,2,3,8,3
c004018,44,남,40,5,1,2,4,8,,9,12,2,1,42,42150,48,48820,42,42170,4,4,4,4,4,4,4,4,충청남도,충남,자녀 동반 여행,2022-10-16~2022-10-16,1,3,8,3
c014140,43,남,30,4,1,1,1,2,,4,,2,1,26,26440,30,30170,11,11680,2,1,3,2,2,3,6,5,충청북도,대전,2인 여행(가족 외),2022-11-10~2022-11-10,3,2,1,1
c008632,11,여,30,6,1,1,1,2,,5,,2,1,42,42150,42,42210,50,50110,1,6,2,3,6,6,6,6,서울특별시,충남,나홀로 여행,2022-10-21~2022-10-21,1,2,7,0
c004314,41,여,20,6,1,1,2,3,,4,6,3,3,50,50130,48,48840,46,46130,2,2,1,5,5,5,3,6,경기도,전북,나홀로 여행,2022-10-01~2022-10-01,7,1,4,0
c000005,11,남,30,8,1,1,1,2,,5,,2,2,44,44150,43,43110,30,30200,4,2,2,3,2,3,2,6,서울특별시,대전,2인 여행(가족 외),2022-08-12~2022-08-14,3,7,6,1
c006400,41,남,30,6,1,2,3,2,,11,12,2,2,42,42210,42,42820,50,50130,2,4,5,3,5,5,4,4,경기도,전남,3대 동반 여행(친척 포함),2022-10-28~2022-10-30,1,3,10,4
c011345,27,여,20,6,1,1,3,3,,4,12,2,3,47,47130,46,46130,26,26500,4,2,2,4,3,2,6,5,대구광역시,전남,2인 여행(가족 외),2022-10-29~2022-10-30,3,1,5,1
c003264,11,여,20,6,1,1,1,3,,4,,2,1,45,45130,47,47130,47,47210,1,3,1,5,6,2,4,4,서울특별시,전북,3인 이상 여행(가족 외),2022-09-23~2022-09-25,3,2,1,2
c001401,41,여,40,6,1,2,3,4,,5,6,2,1,48,48310,46,46130,48,48220,2,3,1,4,3,2,6,3,경기도,전남,나홀로 여행,2022-08-24~2022-08-26,1,6,2,0
c002594,27,여,20,6,1,1,5,12,,1,6,3,5,11,11140,28,28110,27,27110,4,2,2,2,4,4,2,6,대구광역시,대전,2인 여행(가족 외),2022-09-21~2022-09-21,1,3,2,1
c014125,43,남,30,5,1,1,1,13,,6,,3,4,46,46130,41,41360,28,28237,2,1,1,1,1,2,7,2,충청북도,충남,2인 여행(가족 외),2022-11-12~2022-11-12,2,3,1,1
c001050,29,남,30,6,1,2,2,2,,6,9,2,1,42,42230,47,47110,50,50130,1,1,1,4,3,1,1,6,광주광역시,전북,2인 가족 여행,2022-08-24~2022-08-28,3,2,1,1
c003260,28,여,20,5,1,1,4,3,,4,8,3,5,50,50130,42,42150,11,11560,2,2,2,1,2,5,1,6,인천광역시,충남,2인 여행(가족 외),2022-10-13~2022-10-14,2,1,3,1
c000111,41,남,20,5,1,1,3,8,,4,9,2,1,42,42150,50,50130,45,45110,4,1,1,3,1,4,7,4,경기도,충북,2인 여행(가족 외),2022-08-13~2022-08-14,3,5,1,1
