TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b011774,31,여,30,6,1,1,1,3,,4,,2,1,50,50110,11,11620,26,26500,4,2,2,4,3,3,2,6,울산광역시,경남,2인 가족 여행,2022-10-25~2022-10-26,2,1,5,1
d009928,29,여,20,6,2,1,4,12,,2,6,3,3,50,50110,26,26350,11,11680,6,1,2,3,1,6,1,7,광주광역시,제주,2인 여행(가족 외),2022-10-30~2022-11-01,2,1,5,1
d010131,26,남,20,7,2,1,1,12,,3,,4,2,31,31140,31,31110,11,11110,6,2,1,6,5,6,2,7,부산광역시,제주,나홀로 여행,2022-11-02~2022-11-04,5,2,10,0
d006004,50,여,20,6,1,1,1,3,,4,,2,2,11,11500,26,26350,50,50130,5,7,6,2,2,5,3,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-30~2022-10-31,3,1,7,1
d002965,50,여,30,6,1,2,4,3,,1,4,1,1,50,50130,27,27290,47,47110,1,7,1,1,7,7,1,4,제주특별자치도,제주,자녀 동반 여행,2022-10-08~2022-10-10,3,1,8,3
c003062,11,여,50,6,1,2,2,10,,11,11,2,1,41,41460,42,42210,46,46890,4,4,3,5,3,5,2,6,서울특별시,전남,3인 이상 여행(가족 외),2022-10-01~2022-10-03,3,1,7,7
d012350,50,남,30,4,1,2,2,13,,3,5,1,1,50,50130,11,11350,27,27290,2,1,5,3,2,3,3,3,제주특별자치도,제주,3인 이상 여행(가족 외),2022-11-11~2022-11-11,6,3,2,2
a017861,41,남,60,6,1,2,2,9,,5,5,3,7,46,46130,31,31710,44,44825,1,2,6,7,2,6,7,7,경기도,인천,2인 가족 여행,2022-11-09~2022-11-09,2,1,3,1
d001580,27,남,30,6,1,2,3,3,,8,8,2,1,47,47130,26,26350,48,48310,4,3,2,5,6,6,1,7,대구광역시,제주,자녀 동반 여행,2022-09-22~2022-09-26,1,3,7,2
d007452,41,남,30,6,1,1,4,2,,4,8,3,3,26,26350,42,42210,50,50130,4,4,3,4,3,3,4,4,경기도,제주,부모 동반 여행,2022-10-23~2022-10-27,9,1,2,3
