iter	Passed	Remaining
0	16	27178
1	34	27903
2	53	28453
3	68	27344
4	84	27264
5	98	26374
6	113	26055
7	127	25472
8	142	25296
9	157	25259
10	173	25176
11	181	24105
12	197	24225
13	213	24391
14	231	24575
15	245	24420
16	260	24424
17	275	24351
18	290	24303
19	305	24289
20	320	24266
21	334	24167
22	342	23602
23	347	22968
24	361	22916
25	376	22930
26	390	22912
27	406	22974
28	422	23038
29	440	23215
30	457	23302
31	472	23311
32	487	23296
33	502	23297
34	517	23277
35	532	23274
36	546	23230
37	560	23194
38	575	23178
39	590	23171
40	604	23140
41	617	23065
42	634	23136
43	650	23152
44	666	23163
45	680	23144
46	694	23103
47	708	23044
48	722	23010
49	737	22997
50	752	23007
51	769	23062
52	785	23063
53	801	23090
54	817	23103
55	833	23126
56	849	23133
57	865	23165
58	880	23140
59	895	23137
60	911	23141
61	926	23142
62	941	23126
63	956	23106
64	971	23090
65	989	23140
66	1005	23165
67	1022	23189
68	1039	23208
69	1056	23253
70	1076	23336
71	1091	23311
72	1106	23301
73	1125	23357
74	1140	23340
75	1156	23346
76	1173	23359
77	1190	23384
78	1207	23410
79	1224	23417
80	1240	23417
81	1256	23421
82	1276	23481
83	1293	23490
84	1309	23498
85	1327	23519
86	1346	23572
87	1365	23610
88	1383	23642
89	1403	23696
90	1423	23757
91	1439	23751
92	1456	23755
93	1473	23763
94	1491	23781
95	1506	23759
96	1522	23740
97	1536	23707
98	1552	23691
99	1567	23673
100	1584	23673
101	1602	23698
102	1619	23697
103	1636	23695
104	1651	23672
105	1668	23672
106	1687	23710
107	1704	23709
108	1720	23695
109	1736	23680
110	1750	23642
111	1764	23599
112	1779	23580
113	1785	23426
114	1799	23395
115	1815	23378
116	1830	23353
117	1845	23336
118	1861	23319
119	1876	23298
120	1892	23285
121	1908	23276
122	1925	23277
123	1942	23273
124	1957	23252
125	1971	23223
126	1988	23221
127	2003	23200
128	2019	23183
129	2035	23173
130	2051	23166
131	2067	23152
132	2081	23111
133	2100	23133
134	2114	23106
135	2132	23116
136	2147	23090
137	2163	23075
138	2179	23061
139	2195	23050
140	2211	23038
141	2220	22954
142	2226	22838
143	2243	22842
144	2259	22831
145	2276	22828
146	2292	22816
147	2308	22800
148	2338	22933
149	2363	23009
150	2386	23060
151	2406	23079
152	2424	23087
153	2441	23085
154	2459	23084
155	2475	23076
156	2492	23070
157	2509	23065
158	2526	23059
159	2544	23059
160	2564	23077
161	2579	23057
162	2597	23056
163	2614	23054
164	2630	23033
165	2644	23008
166	2663	23010
167	2679	23000
168	2696	22987
169	2711	22966
170	2726	22945
171	2741	22920
172	2761	22935
173	2778	22928
174	2793	22908
175	2808	22886
176	2823	22861
177	2837	22830
178	2852	22804
179	2867	22784
180	2883	22762
181	2898	22743
182	2911	22701
183	2926	22678
184	2942	22663
185	2957	22643
186	2974	22633
187	2991	22625
188	3007	22610
189	3023	22594
190	3039	22584
191	3061	22610
192	3077	22597
193	3096	22601
194	3115	22610
195	3133	22607
196	3150	22600
197	3168	22594
198	3186	22590
199	3204	22591
200	3221	22583
201	3266	22770
202	3284	22764
203	3300	22748
204	3318	22742
205	3335	22733
206	3352	22724
207	3369	22712
208	3387	22705
209	3409	22731
210	3443	22832
211	3467	22865
212	3485	22860
213	3502	22849
214	3520	22839
215	3537	22829
216	3553	22809
217	3569	22790
218	3584	22769
219	3600	22751
220	3615	22724
221	3632	22711
222	3651	22711
223	3673	22729
224	3692	22729
225	3709	22714
226	3725	22696
227	3741	22681
228	3757	22661
229	3773	22640
230	3790	22627
231	3806	22608
232	3823	22598
233	3841	22592
234	3860	22590
235	3878	22583
236	3895	22567
237	3912	22552
238	3928	22532
239	3944	22513
240	3960	22497
241	3977	22484
242	3995	22476
243	4013	22469
244	4030	22457
245	4047	22442
246	4064	22429
247	4083	22425
248	4099	22405
249	4115	22388
250	4131	22369
251	4146	22346
252	4161	22323
253	4179	22313
254	4199	22312
255	4219	22318
256	4238	22312
257	4259	22319
258	4278	22320
259	4299	22325
260	4317	22315
261	4333	22294
262	4348	22269
263	4364	22251
264	4382	22244
265	4405	22261
266	4426	22265
267	4445	22259
268	4463	22251
269	4481	22242
270	4502	22245
271	4518	22227
272	4534	22209
273	4550	22186
274	4568	22179
275	4585	22160
276	4601	22143
277	4618	22130
278	4639	22135
279	4660	22137
280	4680	22135
281	4697	22122
282	4714	22106
283	4733	22102
284	4757	22119
285	4787	22163
286	4813	22190
287	4834	22190
288	4852	22179
289	4873	22183
290	4897	22198
291	4917	22194
292	4940	22204
293	4972	22256
294	4990	22243
295	5004	22216
296	5019	22189
297	5034	22164
298	5048	22137
299	5067	22126
300	5086	22118
301	5102	22099
302	5117	22075
303	5132	22049
304	5147	22026
305	5166	22014
306	5200	22073
307	5228	22102
308	5247	22095
309	5269	22099
310	5288	22087
311	5305	22073
312	5320	22046
313	5335	22020
314	5350	21996
315	5366	21976
316	5383	21960
317	5400	21940
318	5416	21921
319	5432	21899
320	5450	21887
321	5467	21868
322	5483	21848
323	5498	21825
324	5513	21798
325	5529	21778
326	5548	21769
327	5567	21759
328	5588	21759
329	5607	21749
330	5636	21778
331	5654	21765
332	5672	21752
333	5691	21745
334	5707	21723
335	5722	21698
336	5737	21672
337	5752	21648
338	5767	21624
339	5783	21603
340	5800	21586
341	5816	21564
342	5831	21542
343	5847	21519
344	5864	21502
345	5881	21485
346	5898	21467
347	5914	21449
348	5931	21431
349	5948	21415
350	5966	21402
