iter	RMSE
0	0.2399272897
1	0.2397246578
2	0.2394901161
3	0.2392263933
4	0.2390068806
5	0.2388078311
6	0.2386607797
7	0.2384152701
8	0.23822734
9	0.2379969018
10	0.237752094
11	0.2377080762
12	0.237594671
13	0.2373950494
14	0.2372134135
15	0.2370793786
16	0.2369507006
17	0.2367897703
18	0.2366325037
19	0.236499714
20	0.2363526831
21	0.2361476436
22	0.236081335
23	0.2360388885
24	0.2359346428
25	0.2357882377
26	0.2356702751
27	0.2355849886
28	0.2354285303
29	0.2353060792
30	0.235218689
31	0.2351239753
32	0.2350646785
33	0.2349195187
34	0.2348414287
35	0.2347752071
36	0.2346820411
37	0.2345884636
38	0.2345205533
39	0.234450735
40	0.2343706712
41	0.2342842543
42	0.2341560527
43	0.23406915
44	0.2339737161
45	0.233873177
46	0.2337931065
47	0.2337064716
48	0.2336255894
49	0.2335696868
50	0.2334472727
51	0.2333493104
52	0.2332682204
53	0.2331696452
54	0.2330828983
55	0.2330150703
56	0.232945543
57	0.2328911886
58	0.2328639256
59	0.2327693665
60	0.2327344451
61	0.2326913888
62	0.2326434894
63	0.2325758451
64	0.2325158112
65	0.2324431238
66	0.2323731201
67	0.2323167968
68	0.2322410569
69	0.2321427512
70	0.2321024601
71	0.2320751375
72	0.2319726189
73	0.2318465576
74	0.2318052706
75	0.2316996743
76	0.2316014944
77	0.2315350778
78	0.2314900409
79	0.2314075418
80	0.2313763151
81	0.2312428637
82	0.2311994618
83	0.2311172629
84	0.2310655265
85	0.230996134
86	0.2309699629
87	0.2309394247
88	0.2308637576
89	0.230822319
90	0.230783759
91	0.23073852
92	0.2306721023
93	0.2306164611
94	0.2305637618
95	0.2305264788
96	0.2304652927
97	0.2304429378
98	0.2303778309
99	0.2303398991
100	0.2302870595
101	0.2302399705
102	0.2302140549
103	0.2301317617
104	0.2300936817
105	0.2300032629
106	0.2299295235
107	0.2299026708
108	0.229853362
109	0.2298402033
110	0.2297836236
111	0.2297506543
112	0.2296888616
113	0.2296886044
114	0.2296771607
115	0.2295899918
116	0.2295345457
117	0.2294715489
118	0.2294066088
119	0.2293560229
120	0.2293315944
121	0.2292812134
122	0.2292560785
123	0.2292333782
124	0.2291837399
125	0.2291606711
126	0.2291300441
127	0.2290625045
128	0.2290058095
129	0.2289603489
130	0.2288773639
131	0.2288202268
132	0.2287576673
133	0.2287233431
134	0.2287101397
135	0.2286765197
136	0.2286551813
137	0.2285928009
138	0.2285235787
139	0.2284758945
140	0.228444075
141	0.2284384862
142	0.2284371932
143	0.2283815222
144	0.2283413217
145	0.2282597158
146	0.228197891
147	0.2281606192
148	0.2281103346
149	0.2280403974
150	0.2279466735
151	0.2278972922
152	0.2278807881
153	0.2278387069
154	0.2278194745
155	0.2277888141
156	0.2276639256
157	0.2276293079
158	0.2275988422
159	0.2275461803
160	0.2275161883
161	0.2274750909
162	0.2274380578
163	0.227414486
164	0.2273419718
165	0.2273152754
166	0.2272648331
167	0.2272148028
168	0.2271890852
169	0.2271654396
170	0.2271498801
171	0.2270716103
172	0.2270142626
173	0.2269757907
174	0.2269202273
175	0.2268722672
176	0.2268319756
177	0.2267650817
178	0.2267417395
179	0.2266987121
180	0.2266889051
181	0.2265766531
182	0.2265703905
183	0.2265280684
184	0.2265073071
