TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
a_a007376,교통카드충전,0,1,,CU용인마북점,,,,,,3.0,10000,교통카드충전,4146311300.0
a_a000122,잡화,4,4,,지악(춘천)방향 휴게소,강원 원주시 신림면 다리실2길 32,강원 원주시 신림면 금창리 500,4457129.0,4213039022.0,2022-08-09 12:06:00.000,1.0,6800,다솜/롤리폴리,
a_a003807,식품,0,3,,이마트 청계천점,,,,,,1.0,81000,고기;깻잎;떡;양파;감자;라면;사과;과자 등,1114016500.0
a_a009440,경량패딩,1,1,3588500226.0,신성통상(주),제주특별자치도 제주시 신광로 29,제주특별자치도 제주시 연동 272-5,3349109.0,5011013700.0,2022-10-28 11:27:00.000,1.0,69800,MSD5JP1502;MSC4TU2001,
a_a017885,테르메덴 풀&스파 이용권,0,2,,테르메덴,,,,,,4.0,39990,테르메덴 풀&스파 이용권,4150036000.0
a_a004504,플레이더월드 예약금,0,2,,플레이더월드 강남점,,,,,,5.0,20000,플레이더월드 예약금,1165010800.0
b_b001670,식품,1,2,,이마트24,경기 광주시 곤지암읍 광여로 819,경기 광주시 곤지암읍 건업리 328-1,3012083.0,4161025930.0,2022-08-20 15:20:00.000,1.0,23900,커피 과자 샌드위치 등,
a_a002303,취사거리,1,2,,쿠팡,서울 마포구 대흥로6길 14-12,서울 마포구 용강동 494-102,4139058.0,1144010500.0,,3.0,47520,정육;과일;야채,
a_a011495,체험권,1,1,,한성꽃방 비올즈2호,서울 관악구 남부순환로 1870,서울 관악구 봉천동 1664-16,2000003.0,1162010100.0,2022-10-29 16:00:00.000,1.0,15000,랑데부체험 + 아메리카노,
a_a000307,소주,0,5,,GS25 사당점,,,,,,1.0,12900,소주,1159010700.0
a_a005125,식품,0,2,,푸드장,,,,,,1.0,27000,삼겹살;항정살,1156011000.0
a_a002104,공연티켓,1,2,2208155597.0,(주)케이지이니시스,서울 중구 통일로 92,서울 중구 순화동 1-170,3000008.0,1114016800.0,2022-06-08 06:41:00.000,1.0,269000,,
a_a018235,군고구마,0,1,,거리음식,,,,,,3.0,5000,군고구마,4117310300.0
a_a007307,식품,0,6,,이마트,,,,,,3.0,50000,간식 초콜릿 스포츠음료 과일,1120010100.0
