TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b015583,41,여,20,6,1.0,1.0,5,3.0,,3,7.0,2,2,50,50110,26,26500,47,47130,1,1,1,4,7,1,1,7,경기도,충남,2인 여행(가족 외),2022-10-29~2022-10-30,1.0,,,1
a001105,30,남,30,6,1.0,1.0,2,3.0,,4,6.0,3,1,41,41460,11,11560,26,26710,6,2,2,2,4,6,6,5,대전광역시,경기,3인 이상 여행(가족 외),2022-09-03~2022-09-04,3.0,,,7
a001673,41,여,30,4,1.0,2.0,3,,1.0,5,8.0,2,3,50,50130,28,28110,26,26710,4,1,2,1,2,5,2,7,경기도,서울,자녀 동반 여행,2022-09-18~2022-09-19,10.0,7.0,1.0,2
a017690,41,여,30,6,1.0,1.0,3,3.0,,5,7.0,3,6,42,42830,42,42210,50,50130,2,2,3,4,3,2,4,5,경기도,서울,3인 이상 여행(가족 외),2022-11-12~2022-11-12,3.0,1.0,2.0,3
c006666,28,여,30,6,1.0,1.0,3,13.0,,3,7.0,2,1,42,42210,41,41820,41,41630,3,6,2,4,6,5,5,5,인천광역시,경기,나홀로 여행,2022-10-18~2022-10-18,1.0,7.0,2.0,0
a007192,11,남,20,7,1.0,1.0,4,2.0,,7,12.0,2,1,41,41630,50,50130,42,42830,4,2,2,1,4,4,5,4,서울특별시,경기,나홀로 여행,2022-10-13~2022-10-13,6.0,8.0,2.0,0
a006685,41,여,30,5,1.0,2.0,2,3.0,,4,7.0,3,6,41,41650,28,28720,42,42750,1,1,7,5,1,1,5,2,경기도,인천,2인 가족 여행,2022-10-09~2022-10-09,10.0,,,1
a014274,11,여,20,6,1.0,1.0,4,2.0,,5,11.0,3,5,50,50110,47,47130,42,42130,2,1,1,5,3,3,2,6,서울특별시,경기,나홀로 여행,2022-11-01~2022-11-03,4.0,7.0,1.0,0
a002302,11,여,60,6,1.0,2.0,2,2.0,,4,7.0,2,5,42,42820,28,28110,41,41820,3,4,5,2,2,5,6,6,서울특별시,인천,나홀로 여행,2022-09-17~2022-09-17,8.0,1.0,2.0,0
a004118,50,여,30,6,1.0,1.0,2,3.0,,5,8.0,3,6,26,26350,11,11680,46,46130,4,3,1,4,6,4,7,4,제주특별자치도,인천,나홀로 여행,2022-10-01~2022-10-03,1.0,7.0,2.0,0
