TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
a004118,50,여,30,6,1.0,1.0,2,3.0,,5,8.0,3,6,26,26350,11,11680,46,46130,4,3,1,4,6,4,7,4,제주특별자치도,인천,나홀로 여행,2022-10-01~2022-10-03,1.0,7.0,2.0,0
a015175,50,남,50,2,1.0,2.0,4,4.0,,3,6.0,3,6,11,11350,42,42150,26,26710,4,5,6,5,4,5,4,6,제주특별자치도,서울,나홀로 여행,2022-10-29~2022-10-30,7.0,1.0,6.0,0
d012476,50,여,40,6,1.0,2.0,1,13.0,,3,,3,4,41,41280,50,50130,42,42110,4,4,4,4,4,4,4,4,제주특별자치도,제주,나홀로 여행,2022-11-09~2022-11-09,7.0,,,0
a014333,50,여,30,7,1.0,1.0,2,2.0,,4,7.0,2,2,41,41110,26,26530,46,46150,4,2,6,1,4,6,1,5,제주특별자치도,경기,나홀로 여행,2022-10-29~2022-10-30,1.0,3.0,2.0,1
a018143,50,여,30,5,1.0,2.0,4,11.0,,2,5.0,2,3,50,50110,50,50130,11,11710,1,6,3,2,6,5,6,3,제주특별자치도,서울,나홀로 여행,2022-11-13~2022-11-13,10.0,,,0
a001960,50,여,20,6,1.0,1.0,3,3.0,,4,6.0,3,3,11,11680,11,11560,27,27260,5,3,5,3,4,5,2,5,제주특별자치도,서울,나홀로 여행,2022-09-24~2022-09-25,2.0,1.0,7.0,0
a001982,41,여,20,6,2.0,1.0,4,,2.0,1,10.0,3,7,50,50110,46,46770,42,42150,2,1,3,3,5,5,2,3,경기도,서울,나홀로 여행,2022-09-23~2022-09-24,7.0,8.0,1.0,0
a015837,50,여,50,6,1.0,2.0,4,3.0,,4,7.0,2,1,11,11440,48,48220,45,45130,7,1,1,4,1,3,7,1,제주특별자치도,서울,3인 이상 여행(가족 외),2022-11-04~2022-11-07,7.0,3.0,1.0,2
a009440,50,여,40,6,1.0,2.0,3,3.0,,5,8.0,3,1,46,46790,46,46710,29,29155,4,2,1,3,2,6,6,2,제주특별자치도,서울,3인 이상 여행(가족 외),2022-10-28~2022-10-30,2.0,1.0,3.0,5
a001090,50,여,30,6,1.0,2.0,3,3.0,,4,8.0,3,4,50,50110,11,11110,47,47130,2,1,6,2,4,6,6,2,제주특별자치도,서울,자녀 동반 여행,2022-08-25~2022-08-28,8.0,3.0,1.0,2
