TRAVEL_ID,recommend_result_place
b_b000465,"['스누피가든', '스카이워터쇼', '비자림', '김녕미로공원', '세화해변', '김녕해수욕장', '메이즈랜드', '만장굴', '세화민속오일시장', '이마트 신제주점']"
c_c009086,"['국립제주박물관', '사라봉공원']"
d_d004269,"['이중섭미술관', '올레야시장', '제주월드컵경기장', '서귀포매일올레시장', '원앙폭포', '상효원수목원', '돈내코유원지', '이중섭거리', '자구리문화예술공원', '이마트 서귀포점']"
d_d005392,"['제주국제공항 JDC면세점', '용두암']"
d_d010391,"['휴애리자연생활공원', '남원큰엉해변', '제주코코몽에코파크', '산물관광농원', '레몬뮤지엄']"
d_d002857,"['아라리오뮤지엄 탑동시네마', '사라봉공원', '국립제주박물관', '디앤디파트먼트 제주', '제주동문시장']"
d_d003379,"['아쿠아플라넷 제주', '섭지코지', '성산일출봉', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d000343,"['한라산아래첫마을', '산방산탄산온천', '포도뮤지엄', '무민랜드제주', '화순금모래해수욕장', '신화관 제주신화월드 스카이풀', '9.81파크', '카멜리아힐', '본태박물관', '루나폴']"
d_d006734,"['천제연폭포', '제주관광공사 지정면세점', '중문대포주상절리대', 'ICC제주국제컨벤션센터', '액트몬 제주중문점']"
d_d007425,"['한라생태숲', '마방목지', '서귀포치유의숲']"
d_d000537,"['걸어가는늑대들 전이수갤러리', '아쿠아플라넷 제주', '함덕해수욕장', '성산일출봉', '섭지코지', '드르쿰다in성산', '거문오름', '휘닉스제주 유민미술관', '에코랜드테마파크', '제주돌문화공원']"
d_d002943,"['사라봉공원', '제주동문시장', '국립제주박물관']"
d_d000488,"['성산일출봉', '섭지코지', '아쿠아플라넷 제주', '드르쿰다in성산', '김영갑갤러리두모악', '휘닉스제주 유민미술관', '신양섭지해수욕장']"
c_c005613,"['스누피가든', '김녕해수욕장', '비자림', '세화해변', '9.81파크', '김녕미로공원', '렛츠런파크제주', '아르떼뮤지엄 제주', '해변산책', '삼성혈']"
d_d000922,"['아쿠아플라넷 제주', '성산일출봉', '섭지코지', '드르쿰다in성산', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '쇠소깍', '신양섭지해수욕장']"
d_d000744,"['9.81파크', '금능해수욕장', '협재해수욕장', '한림공원', '렛츠런파크제주', '아르떼뮤지엄 제주', '해변산책', '제주도립김창열미술관', '성이시돌목장', '서부농업기술센터']"
d_d004583,"['아쿠아플라넷 제주', '스누피가든', '성산일출봉', '비자림', '김녕해수욕장', '세화해변', '섭지코지', '드르쿰다in성산', '김녕미로공원', '쇠소깍']"
d_d007467,"['아쿠아플라넷 제주', '성산일출봉', '드르쿰다in성산', '섭지코지', '휘닉스제주 유민미술관', '김영갑갤러리두모악', '신양섭지해수욕장']"
d_d012487,"['한라산아래첫마을', '본태박물관', '포도뮤지엄', '산방산탄산온천', '피규어뮤지엄제주', '신화관 제주신화월드 스카이풀', '화순금모래해수욕장', '마노르블랑', '무민랜드제주', '제주아트서커스']"
