VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean
이중섭미술관,서귀포,서귀동,3,41.53846153846154,0.3076923076923077,0.7307692307692307
천제연폭포,서귀포,중문동,1,67.24137931034483,0.1724137931034483,1.4827586206896552
협재해수욕장,제주,한림읍,1,66.61764705882354,0.5343137254901961,1.4754901960784317
섭지코지,서귀포,성산읍,1,61.0,0.3916666666666666,1.65
제주동문시장,제주,일도일동,4,51.85929648241206,0.5527638190954773,1.4221105527638191
함덕해수욕장,제주,조천읍,1,57.84,0.564,1.608
용두암,제주,용담2동,1,32.58620689655172,0.4137931034482758,1.793103448275862
성산일출봉,서귀포,성산읍,1,65.390625,0.578125,1.5625
서귀포매일올레시장,서귀포,서귀동,4,53.96396396396396,0.5255255255255256,1.6396396396396395
쇠소깍,서귀포,하효동,1,57.16981132075472,0.3584905660377358,1.679245283018868
해녀박물관,제주,구좌읍,2,53.75,0.125,1.375
김녕해수욕장,제주,구좌읍,1,69.76744186046511,0.3372093023255814,1.430232558139535
제주민속촌,서귀포,표선면,2,93.75,0.125,1.6875
아르떼뮤지엄 제주,제주,애월읍,3,80.14285714285714,0.0285714285714285,1.3571428571428572
절물자연휴양림,제주,봉개동,1,80.0,0.1851851851851851,1.851851851851852
아쿠아플라넷 제주,서귀포,성산읍,6,157.86885245901638,0.3114754098360656,2.0163934426229506
금능해수욕장,제주,한림읍,1,62.69230769230769,0.4358974358974359,1.7179487179487178
카멜리아힐,서귀포,안덕면,1,81.57894736842105,0.2280701754385964,2.017543859649123
제주동문재래시장,제주,이도일동,4,53.82978723404256,0.6170212765957447,1.4042553191489362
스누피가든,제주,구좌읍,6,129.14634146341464,0.0975609756097561,1.6341463414634143
노형수퍼마켙,제주,해안동,3,80.23255813953489,0.0232558139534883,1.4883720930232558
테디베어뮤지엄 제주점,서귀포,색달동,3,62.72727272727273,0.3636363636363636,2.090909090909091
신양섭지해수욕장,서귀포,성산읍,1,63.0,0.2,2.4
제주항공우주박물관,서귀포,안덕면,2,121.2,0.2,2.32
중문대포주상절리대,서귀포,중문동,1,48.28125,0.328125,1.703125
수목원테마파크,제주,연동,6,96.42857142857144,0.1428571428571428,1.4285714285714286
한라수목원,제주,연동,1,52.5,0.21875,1.375
에코랜드테마파크,제주,조천읍,6,135.0,0.3157894736842105,2.8157894736842106
여미지식물원,서귀포,색달동,6,66.92307692307692,0.3076923076923077,2.3076923076923075
신화테마파크,서귀포,안덕면,6,93.125,0.4791666666666667,2.333333333333333
비자림,제주,구좌읍,1,73.79310344827586,0.2298850574712643,1.7126436781609196
오설록티뮤지엄,서귀포,안덕면,3,64.25196850393701,0.4409448818897638,1.251968503937008
마라도,서귀포,대정읍,1,118.33333333333331,0.2222222222222222,1.3888888888888888
9.81파크,제주,애월읍,6,127.02127659574468,0.1276595744680851,1.6595744680851063
이마트 신제주점,제주,구좌읍,4,36.0,0.4,1.24
만장굴,제주,구좌읍,1,71.16279069767442,0.1395348837209302,2.232558139534884
제주곶자왈도립공원,서귀포,대정읍,1,86.89655172413794,0.1724137931034483,1.6551724137931034
한담몰,제주,애월읍,4,37.5,0.125,1.0
서귀포치유의숲,서귀포,호근동,2,118.57142857142856,0.1428571428571428,1.4761904761904765
산방산탄산온천,서귀포,안덕면,6,126.66666666666669,0.3492063492063492,1.1111111111111112
이중섭거리,서귀포,서귀동,2,49.2,0.42,0.9
제주동문재래야시장,제주,이도일동,4,58.8,0.54,1.24
남원큰엉해변,서귀포,남원읍,7,50.526315789473685,0.0526315789473684,2.0
세화해변,제주,구좌읍,1,56.91176470588236,0.3529411764705882,1.5588235294117647
홈플러스 서귀포점,서귀포,동홍동,4,40.0,0.1666666666666666,2.333333333333333
훈데르트바서파크,제주,우도면,6,54.78260869565217,0.0434782608695652,1.7826086956521738
약천사,서귀포,대포동,2,47.85714285714285,0.1666666666666666,1.7142857142857142
관음사,제주,아라일동,2,40.0,0.2222222222222222,1.5
올레야시장,서귀포,서귀동,4,46.66666666666666,0.3333333333333333,1.3333333333333333
제주현대미술관,제주,한경면,3,69.64285714285714,0.1071428571428571,0.7857142857142857
한림공원,제주,한림읍,1,88.88888888888889,0.1111111111111111,1.2592592592592593
제주관광공사 지정면세점,서귀포,중문동,4,47.142857142857146,0.3928571428571428,1.5
이마트 서귀포점,서귀포,법환동,4,43.84615384615385,0.5769230769230769,2.230769230769231
뽀로로앤타요테마파크 제주,서귀포,안덕면,6,193.84615384615384,0.0769230769230769,2.6923076923076925
제주특별자치도 민속자연사박물관,제주,일도2동,2,67.5,0.0,0.875
방주교회,서귀포,안덕면,2,39.642857142857146,0.2857142857142857,1.75
성이시돌목장,제주,한림읍,4,43.125,0.21875,1.5
포도뮤지엄,서귀포,안덕면,3,60.0,0.16,0.56
붉은오름자연휴양림,서귀포,표선면,7,75.0,0.0,1.375
항파두리 항몽유적지,제주,애월읍,2,41.53846153846154,0.1153846153846153,1.0384615384615383
윈드1947카트테마파크,서귀포,토평동,5,66.7741935483871,0.032258064516129,1.6774193548387095
제주목 관아,제주,삼도2동,2,42.85714285714285,0.0,0.6428571428571429
상효원수목원,서귀포,상효동,1,88.84615384615384,0.0384615384615384,2.1153846153846154
서귀포향토오일시장,서귀포,동홍동,4,36.0,0.4,3.0
표선해수욕장,서귀포,표선면,1,61.11111111111112,0.1851851851851851,1.2962962962962965
신세계사이먼 제주프리미엄전문점,서귀포,안덕면,4,64.0,0.6,1.6
본태박물관,서귀포,안덕면,2,92.3076923076923,0.0769230769230769,0.5384615384615384
이마트 제주점,제주,삼도2동,4,38.0,0.2,1.2
소길별하,제주,애월읍,2,66.0,0.0,1.0
검멀레해변,제주,우도면,1,31.0,0.1666666666666666,2.0
제주성읍마을,서귀포,표선면,7,57.0,0.25,2.4
ICC제주국제컨벤션센터,서귀포,중문동,3,130.9090909090909,0.3636363636363636,2.636363636363636
한라산아래첫마을,서귀포,안덕면,7,73.5,0.15,1.2
장한철 생가,제주,애월읍,2,45.0,0.0,0.75
기당미술관,서귀포,서홍동,3,41.25,0.375,0.125
루나폴,서귀포,안덕면,6,94.28571428571428,0.0,2.2857142857142856
바이나흐튼 크리스마스박물관,서귀포,안덕면,2,42.85714285714285,0.0,1.2857142857142858
휴애리자연생활공원,서귀포,남원읍,1,97.5,0.25,2.05
왈종미술관,서귀포,동홍동,3,37.5,0.0,0.75
