TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable
b_b000465,해녀박물관,제주,구좌읍,2,3.0,3.0,4.0,30.0,0,b000465,22,남,20,0,4,1,1,2,4,6,2,7,10.0,4,2,1.0,1.0,1.0,-2.574269113197787e-18
c_c009086,서부두수산시장,제주,건입동,4,5.0,4.0,3.0,60.0,1,c009086,6,남,20,0,2,2,2,5,5,3,2,6,2.0,1,1,1.0,1.0,1.0,1.3421888884278756e-20
d_d004269,원앙폭포,서귀포,상효동,1,3.0,2.0,3.0,30.0,0,d004269,3,남,30,0,1,4,1,4,4,7,1,7,7.0,1,3,0.75,0.5,0.75,-0.596512493454454
d_d005392,용두암,제주,용담2동,1,5.0,5.0,5.0,30.0,1,d005392,7,남,30,0,2,2,2,6,2,3,3,4,2.0,4,0,1.0,1.0,1.0,0.0
d_d010391,제주코코몽에코파크,서귀포,남원읍,6,5.0,5.0,5.0,60.0,1,d010391,2,여,30,0,4,2,4,1,4,5,2,6,7.0,2,2,1.0,1.0,1.0,0.0
d_d002857,제주해변공연장,제주,삼도이동,8,5.0,5.0,5.0,90.0,1,d002857,9,남,40,0,4,1,1,5,4,5,6,5,8.0,1,2,1.0714285714285714,1.0714285714285714,1.0714285714285714,0.12192486638805544
d_d003379,아쿠아플라넷 제주,서귀포,성산읍,6,5.0,4.0,5.0,180.0,0,d003379,1,여,30,0,4,1,1,1,4,1,2,7,7.0,1,0,1.0,1.0,1.0,0.0
d_d000343,오설록티뮤지엄,서귀포,안덕면,3,4.0,4.0,5.0,60.0,1,d000343,23,여,40,0,3,5,5,1,3,5,3,5,2.0,3,1,1.0,1.0,1.0,0.0
d_d006734,ICC제주국제컨벤션센터,서귀포,중문동,3,5.0,3.0,4.0,60.0,0,d006734,6,여,20,0,5,2,1,6,7,4,7,6,3.0,3,2,1.0,1.0,1.0,0.0
d_d007425,서귀포치유의숲,서귀포,호근동,1,4.0,3.0,4.0,60.0,0,d007425,28,남,30,0,2,2,4,5,6,1,5,3,6.0,3,1,0.8888888888888888,0.75,0.8888888888888888,-0.2839806038793419
d_d000537,제주문화예술진흥원 제주문예회관,제주,일도2동,3,5.0,5.0,5.0,30.0,0,d000537,1,여,20,0,1,1,1,1,5,1,1,5,3.0,3,1,1.0,1.0,1.0,0.0
d_d002943,국립제주박물관,제주,건입동,2,5.0,4.0,5.0,60.0,1,d002943,23,여,40,0,4,2,2,2,4,2,2,6,1.0,6,3,1.1111111111111112,1.0,1.0,0.049018639718526776
