TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
a_a000317,이중섭미술관,서귀포,서귀동,3,5.0,5.0,5.0,60.0,0,a000317,6,여,50,7,2,2,2,4,6,4,2,4,2.0,3,3,1.1363636363636362,1.1363636363636362,1.1363636363636362,0.23276565401355975,41.53846153846154,4.3076923076923075,0.3076923076923077,0.7307692307692307,4.3076923076923075
a_a000317,돈내코계곡,서귀포,상효동,1,4.0,5.0,5.0,90.0,0,a000317,6,여,50,7,2,2,2,4,6,4,2,4,2.0,3,3,0.9090909090909091,1.1363636363636362,1.1363636363636362,0.13250025458930073,60.0,4.5,0.0,1.5,4.5
a_a000317,천제연폭포,서귀포,중문동,1,5.0,5.0,5.0,90.0,0,a000317,6,여,50,7,2,2,2,4,6,4,2,4,2.0,3,3,1.1363636363636362,1.1363636363636362,1.1363636363636362,0.23276565401355975,67.24137931034483,4.413793103448276,0.1724137931034483,1.4827586206896552,4.275862068965517
a_a000317,협재해수욕장,제주,한림읍,1,4.0,4.0,4.0,120.0,0,a000317,6,여,50,7,2,2,2,4,6,4,2,4,2.0,3,3,0.9090909090909091,0.9090909090909091,0.9090909090909091,-0.1551771026757067,66.61764705882354,4.504901960784314,0.5343137254901961,1.4754901960784315,4.485294117647059
a_a000317,섭지코지,서귀포,성산읍,1,4.0,3.0,3.0,60.0,0,a000317,6,여,50,7,2,2,2,4,6,4,2,4,2.0,3,3,0.9090909090909091,0.6818181818181818,0.6818181818181818,-0.4428544599407143,61.0,4.366666666666666,0.39166666666666666,1.65,4.216666666666667
a_a002976,제주동문시장,제주,일도일동,4,5.0,5.0,5.0,30.0,1,a002976,5,여,20,4,3,1,1,5,4,4,5,2,1.0,1,2,1.0,1.0,1.0,0.0,51.85929648241206,4.050251256281407,0.5527638190954773,1.4221105527638191,3.9949748743718594
a_a002976,제주 종달리전망대,제주,구좌읍,1,5.0,5.0,5.0,30.0,0,a002976,5,여,20,4,3,1,1,5,4,4,5,2,1.0,1,2,1.0,1.0,1.0,0.0,30.0,5.0,0.0,2.0,5.0
a_a002976,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,30.0,1,a002976,5,여,20,4,3,1,1,5,4,4,5,2,1.0,1,2,1.0,1.0,1.0,0.0,57.84,4.504,0.564,1.608,4.42
a_a003218,제주동문시장,제주,일도일동,4,5.0,5.0,5.0,60.0,1,a003218,22,여,20,4,1,1,1,7,6,4,3,7,2.0,7,1,1.6666666666666667,1.4285714285714286,1.6666666666666667,0.9762745042920778,51.85929648241206,4.050251256281407,0.5527638190954773,1.4221105527638191,3.9949748743718594
a_a003218,양떼목장,제주,애월읍,6,1.0,2.0,1.0,30.0,1,a003218,22,여,20,4,1,1,1,7,6,4,3,7,2.0,7,1,0.3333333333333333,0.5714285714285714,0.3333333333333333,-0.9762745042920778,30.0,1.0,1.0,1.0,2.0
a_a003788,장안사,제주,도두동,2,5.0,3.0,3.0,30.0,0,a003788,5,남,20,3,2,2,6,6,2,2,3,1,1.0,1,0,1.25,1.1538461538461537,1.0,0.21476914619515236,30.0,3.0,0.0,0.0,3.0
a_a003788,바이크제주,제주,용담이동,5,3.0,2.0,3.0,30.0,1,a003788,5,남,20,3,2,2,6,6,2,2,3,1,1.0,1,0,0.75,0.7692307692307692,1.0,-0.26700774960938617,30.0,3.0,0.5,0.0,2.5
a_a003788,제주동문시장,제주,일도일동,4,5.0,3.0,4.0,60.0,1,a003788,5,남,20,3,2,2,6,6,2,2,3,1,1.0,1,0,1.25,1.1538461538461537,1.3333333333333333,0.4103286553888173,51.85929648241206,4.050251256281407,0.5527638190954773,1.4221105527638191,3.9949748743718594
a_a003788,바이크제주,제주,용담이동,5,3.0,3.0,3.0,30.0,0,a003788,5,남,20,3,2,2,6,6,2,2,3,1,1.0,1,0,0.75,1.1538461538461537,1.0,-0.0058147325382175595,30.0,3.0,0.5,0.0,2.5
a_a003788,용두암,제주,용담2동,1,4.0,2.0,2.0,30.0,1,a003788,5,남,20,3,2,2,6,6,2,2,3,1,1.0,1,0,1.0,0.7692307692307692,0.6666666666666666,-0.3522753194363662,32.58620689655172,3.8275862068965516,0.41379310344827586,1.793103448275862,3.7758620689655173
a_a004595,제주동문시장,제주,일도일동,4,4.0,3.0,4.0,120.0,0,a004595,1,여,30,5,1,7,1,5,6,6,1,1,6.0,1,2,0.8888888888888888,0.75,0.8888888888888888,-0.28398060387934126,51.85929648241206,4.050251256281407,0.5527638190954773,1.4221105527638191,3.9949748743718594
a_a004595,성산일출봉,서귀포,성산읍,1,5.0,5.0,5.0,150.0,1,a004595,1,여,30,5,1,7,1,5,6,6,1,1,6.0,1,2,1.1111111111111112,1.25,1.1111111111111112,0.28398060387934126,65.390625,4.4609375,0.578125,1.5625,4.296875
a_a012195,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,90.0,0,a012195,26,여,30,4,3,3,3,3,3,6,2,5,2.0,3,7,1.1111111111111112,1.1764705882352942,1.1764705882352942,0.272391646536062,57.84,4.504,0.564,1.608,4.42
a_a012195,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,60.0,0,a012195,26,여,30,4,3,3,3,3,3,6,2,5,2.0,3,7,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770512,53.96396396396396,4.135135135135135,0.5255255255255256,1.6396396396396395,4.126126126126126
a_a012195,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,30.0,0,a012195,26,여,30,4,3,3,3,3,3,6,2,5,2.0,3,7,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770512,53.96396396396396,4.135135135135135,0.5255255255255256,1.6396396396396395,4.126126126126126
a_a012195,목장카페 밭디,서귀포,표선면,4,5.0,4.0,4.0,60.0,0,a012195,26,여,30,4,3,3,3,3,3,6,2,5,2.0,3,7,1.1111111111111112,0.9411764705882353,0.9411764705882353,-0.025439029220651787,87.27272727272727,4.818181818181818,0.0,2.4545454545454546,4.636363636363637
b_b001930,할머니떡집,서귀포,서귀동,4,4.0,4.0,4.0,0.0,0,b001930,10,여,20,4,3,1,1,1,1,3,1,6,6.0,5,0,1.2,1.2,1.2,0.3413896258865546,0.0,4.0,0.0,0.0,4.0
b_b001930,우정회센타,서귀포,서귀동,4,2.0,2.0,2.0,30.0,1,b001930,10,여,20,4,3,1,1,1,1,3,1,6,6.0,5,0,0.6,0.6,0.6,-0.6827792517731094,15.0,3.0,0.5,2.5,3.0
b_b001930,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,60.0,0,b001930,10,여,20,4,3,1,1,1,1,3,1,6,6.0,5,0,1.2,1.2,1.2,0.3413896258865546,53.96396396396396,4.135135135135135,0.5255255255255256,1.6396396396396395,4.126126126126126
d_d000002,쇠소깍,서귀포,하효동,1,3.0,3.0,3.0,30.0,0,d000002,5,남,40,5,5,3,3,2,6,6,2,3,3.0,2,2,0.8076923076923077,0.84,0.8076923076923077,-0.30631904222617057,57.16981132075472,4.169811320754717,0.3584905660377358,1.679245283018868,4.018867924528302
